Municipio,Valor
Tunja,662
Duitama,509
Sogamoso,504
Chiquinquirá,249
Puerto Boyacá,222
Nobsa,161
Cubará,158
Garagoa,106
Soatá,96
Samacá,93
Moniquirá,91
Cómbita,85
