geo,Municipio,Expedientes,Año
15001,Tunja,1,2021
15001,Tunja,1,2023
15001,Tunja,2,2024
15047,Aquitania,1,2025
15051,Arcabuco,1,2021
15051,Arcabuco,1,2024
15087,Belén,1,2020
15087,Belén,1,2022
15114,Busbanzá,1,2021
15204,Combita,1,2025
15226,Cuìtiva,1,2021
15232,Chíquiza,1,2023
15238,Duitama,3,2024
15276,Floresta,1,2023
15293,Gachantivá,1,2022
15332,Güicán,1,2021
15368,Jericó,1,2024
15403,La Uvita,1,2022
15403,La Uvita,3,2024
15407,Villa De Leyva,1,2023
15466,Monguì,1,2022
15507,Otanche,1,2024
15514,Páez,3,2025
15516,Paipa,1,2023
15516,Paipa,1,2024
15516,Paipa,1,2025
15531,Pauna,1,2023
15646,Samacá,1,2023
15646,Samacá,1,2024
15693,Santa Rosa De Viterbo,1,2020
15693,Santa Rosa De Viterbo,1,2021
15759,Sogamoso,1,2022
15763,Sotaquirá,1,2021
15763,Sotaquirá,1,2023
15806,Tibasosa,1,2021
15806,Tibasosa,1,2024
15837,Tuta,1,2022
