Año,Periodo,Primera infancia (0 a 5 años),Infancia (6 a 11 años),Adolescencia (12 a 17 años),Juventud (18 a 28 años),Adultez (29 a 59 años),Vejez (Mayor a 60 años)
2020,ene a jun,0,5,85,135,100,9
2020,jul a dic,0,6,88,149,109,15
2021,ene a jun,0,3,95,120,83,9
2021,jul a dic,0,9,134,188,120,9
2022,ene a jun,0,12,194,192,116,12
2022,jul a dic,0,11,233,248,138,11
2023,ene a jun,0,15,179,265,163,16
2023,jul a dic,0,24,198,258,183,12
2024,ene a jun,0,18,161,227,173,13
