geo,Municipio,Año,Especie,Cantidad
15514,Páez,2019,Ovinos,100
15516,Paipa,2019,Caprinos,36
15516,Paipa,2019,Equinos,336
15516,Paipa,2019,Ovinos,327
15516,Paipa,2019,Bufalos,26
15518,Pajarito,2019,Caprinos,18
15518,Pajarito,2019,Equinos,452
15518,Pajarito,2019,Ovinos,80
15518,Pajarito,2019,Bufalos,1
15522,Panqueba,2019,Caprinos,330
15522,Panqueba,2019,Equinos,250
15522,Panqueba,2019,Ovinos,1200
15522,Panqueba,2019,Bufalos,6
15531,Pauna,2019,Caprinos,15
15531,Pauna,2019,Equinos,420
15531,Pauna,2019,Ovinos,30
15533,Paya,2019,Equinos,530
15533,Paya,2019,Ovinos,220
15537,Paz de Río,2019,Caprinos,68
15537,Paz de Río,2019,Equinos,390
15537,Paz de Río,2019,Ovinos,243
15537,Paz de Río,2019,Bufalos,8
15542,Pesca,2019,Caprinos,465
15542,Pesca,2019,Equinos,1200
15542,Pesca,2019,Ovinos,2190
15542,Pesca,2019,Bufalos,1
15550,Pisba,2019,Caprinos,4
15550,Pisba,2019,Equinos,585
15550,Pisba,2019,Ovinos,190
15550,Pisba,2019,Bufalos,4
15572,Puerto Boyacá,2019,Caprinos,70
15572,Puerto Boyacá,2019,Equinos,7000
15572,Puerto Boyacá,2019,Ovinos,2330
15572,Puerto Boyacá,2019,Bufalos,4839
15580,Quípama,2019,Caprinos,8
15580,Quípama,2019,Equinos,404
15580,Quípama,2019,Ovinos,30
15599,Ramiriquí,2019,Caprinos,17
15599,Ramiriquí,2019,Equinos,188
15599,Ramiriquí,2019,Ovinos,211
15600,Ráquira,2019,Caprinos,103
15600,Ráquira,2019,Equinos,176
15600,Ráquira,2019,Ovinos,230
15621,Rondón,2019,Caprinos,20
15621,Rondón,2019,Equinos,100
15621,Rondón,2019,Ovinos,150
15632,Saboyá,2019,Caprinos,76
15632,Saboyá,2019,Equinos,630
15632,Saboyá,2019,Ovinos,162
15638,Sáchica,2019,Caprinos,35
15638,Sáchica,2019,Equinos,30
15638,Sáchica,2019,Ovinos,440
15646,Samacá,2019,Caprinos,14
15646,Samacá,2019,Equinos,178
15646,Samacá,2019,Ovinos,245
15660,San Eduardo,2019,Caprinos,22
15660,San Eduardo,2019,Equinos,215
15660,San Eduardo,2019,Ovinos,124
15664,San José de Pare,2019,Caprinos,15
15664,San José de Pare,2019,Equinos,1659
15664,San José de Pare,2019,Ovinos,15
15667,San Luis de Gaceno,2019,Caprinos,280
15667,San Luis de Gaceno,2019,Equinos,1900
15667,San Luis de Gaceno,2019,Ovinos,338
15673,San Mateo,2019,Caprinos,2900
15673,San Mateo,2019,Equinos,300
15673,San Mateo,2019,Ovinos,1300
15673,San Mateo,2019,Bufalos,1
15676,San Miguel de Sema,2019,Caprinos,38
15676,San Miguel de Sema,2019,Equinos,484
15676,San Miguel de Sema,2019,Ovinos,91
15681,San Pablo de Borbur,2019,Caprinos,6
15681,San Pablo de Borbur,2019,Equinos,436
15681,San Pablo de Borbur,2019,Ovinos,40
15686,Santana,2019,Caprinos,80
15686,Santana,2019,Equinos,2022
15686,Santana,2019,Ovinos,100
15690,Santa María,2019,Caprinos,970
15690,Santa María,2019,Equinos,1650
15690,Santa María,2019,Ovinos,263
15693,Santa Rosa de Viterbo,2019,Caprinos,92
15693,Santa Rosa de Viterbo,2019,Equinos,247
15693,Santa Rosa de Viterbo,2019,Ovinos,222
15693,Santa Rosa de Viterbo,2019,Bufalos,12
15696,Santa Sofía,2019,Caprinos,70
15696,Santa Sofía,2019,Equinos,14
15696,Santa Sofía,2019,Ovinos,270
15696,Santa Sofía,2019,Bufalos,9
15720,Sativanorte,2019,Caprinos,2340
15720,Sativanorte,2019,Equinos,250
15720,Sativanorte,2019,Ovinos,8000
15723,Sativasur,2019,Caprinos,1053
15723,Sativasur,2019,Equinos,270
15723,Sativasur,2019,Ovinos,2000
15740,Siachoque,2019,Caprinos,46
15740,Siachoque,2019,Equinos,475
15740,Siachoque,2019,Ovinos,365
15753,Soatá,2019,Caprinos,3500
15753,Soatá,2019,Equinos,370
15753,Soatá,2019,Ovinos,1800
15755,Socotá,2019,Caprinos,151
15755,Socotá,2019,Equinos,490
15755,Socotá,2019,Ovinos,496
15755,Socotá,2019,Bufalos,49
15757,Socha,2019,Caprinos,19
15757,Socha,2019,Equinos,238
15757,Socha,2019,Ovinos,1168
15759,Sogamoso,2019,Caprinos,588
15759,Sogamoso,2019,Equinos,710
15759,Sogamoso,2019,Ovinos,1980
15759,Sogamoso,2019,Bufalos,28
15761,Somondoco,2019,Caprinos,30
15761,Somondoco,2019,Equinos,150
15761,Somondoco,2019,Ovinos,236
15762,Sora,2019,Caprinos,36
15762,Sora,2019,Equinos,100
15762,Sora,2019,Ovinos,282
15763,Sotaquirá,2019,Caprinos,47
15763,Sotaquirá,2019,Equinos,275
15763,Sotaquirá,2019,Ovinos,229
15764,Soracá,2019,Caprinos,21
15764,Soracá,2019,Equinos,340
15764,Soracá,2019,Ovinos,278
15774,Susacón,2019,Caprinos,3770
15774,Susacón,2019,Equinos,670
15774,Susacón,2019,Ovinos,2300
15776,Sutamarchán,2019,Caprinos,130
15776,Sutamarchán,2019,Equinos,41
15776,Sutamarchán,2019,Ovinos,18
15778,Sutatenza,2019,Caprinos,86
15778,Sutatenza,2019,Equinos,76
15778,Sutatenza,2019,Ovinos,242
15790,Tasco,2019,Caprinos,320
