geo,Municipio,Año,Nivel,Tasa
15272,Firavitoba,2015,Transición,0.000000
15276,Floresta,2015,Transición,0.000000
15293,Gachantivá,2015,Transición,0.000000
15296,Gameza,2015,Transición,0.000000
15299,Garagoa,2015,Transición,0.000000
15317,Guacamayas,2015,Transición,0.000000
15322,Guateque,2015,Transición,0.000000
15325,Guayatá,2015,Transición,0.000000
15332,Güicán,2015,Transición,0.000000
15362,Iza,2015,Transición,0.000000
15367,Jenesano,2015,Transición,0.013200
15368,Jericó,2015,Transición,0.000000
15377,Labranzagrande,2015,Transición,0.000000
15380,La Capilla,2015,Transición,0.000000
15401,La Victoria,2015,Transición,0.000000
15403,La Uvita,2015,Transición,0.000000
15407,Villa de Leyva,2015,Transición,0.000000
15425,Macanal,2015,Transición,0.000000
15442,Maripí,2015,Transición,0.000000
15455,Miraflores,2015,Transición,0.000000
15464,Mongua,2015,Transición,0.000000
15466,Monguí,2015,Transición,0.000000
15469,Moniquirá,2015,Transición,0.000000
15476,Motavita,2015,Transición,0.000000
15480,Muzo,2015,Transición,0.000000
15491,Nobsa,2015,Transición,0.000000
15494,Nuevo Colón,2015,Transición,0.000000
15500,Oicatá,2015,Transición,0.000000
15507,Otanche,2015,Transición,0.000000
15511,Pachavita,2015,Transición,0.000000
15514,Páez,2015,Transición,0.000000
15516,Paipa,2015,Transición,0.000000
15518,Pajarito,2015,Transición,0.000000
15522,Panqueba,2015,Transición,0.000000
15531,Pauna,2015,Transición,0.000000
15533,Paya,2015,Transición,0.000000
15537,Paz de Río,2015,Transición,0.000000
15542,Pesca,2015,Transición,0.000000
15550,Pisba,2015,Transición,0.000000
15572,Puerto Boyacá,2015,Transición,0.000000
15580,Quípama,2015,Transición,0.000000
15599,Ramiriquí,2015,Transición,0.000000
15600,Ráquira,2015,Transición,0.000000
15621,Rondón,2015,Transición,0.000000
15632,Saboyá,2015,Transición,0.000000
15638,Sáchica,2015,Transición,0.000000
15646,Samacá,2015,Transición,0.000000
15660,San Eduardo,2015,Transición,0.000000
15664,San José de Pare,2015,Transición,0.000000
15667,San Luis de Gaceno,2015,Transición,0.000000
15673,San Mateo,2015,Transición,0.000000
15676,San Miguel de Sema,2015,Transición,0.000000
15681,San Pablo de Borbur,2015,Transición,0.000000
15686,Santana,2015,Transición,0.000000
15690,Santa María,2015,Transición,0.000000
15693,Santa Rosa de Viterbo,2015,Transición,0.000000
15696,Santa Sofía,2015,Transición,0.000000
15720,Sativanorte,2015,Transición,0.000000
15723,Sativasur,2015,Transición,0.000000
15740,Siachoque,2015,Transición,0.000000
15753,Soatá,2015,Transición,0.000000
15755,Socotá,2015,Transición,0.000000
15757,Socha,2015,Transición,0.000000
15759,Sogamoso,2015,Transición,0.007400
15761,Somondoco,2015,Transición,0.000000
15762,Sora,2015,Transición,0.000000
15763,Sotaquirá,2015,Transición,0.000000
15764,Soracá,2015,Transición,0.000000
15774,Susacón,2015,Transición,0.000000
15776,Sutamarchán,2015,Transición,0.000000
15778,Sutatenza,2015,Transición,0.000000
15790,Tasco,2015,Transición,0.000000
