geo,Año,Rango de edad,Sexo,Casos
15001,2020,Adolescencia,Hombre,6
15001,2020,Adultez,Mujer,1
15001,2020,Adultez,Hombre,29
15001,2020,Infancia,Mujer,1
15001,2020,Infancia,Hombre,1
15001,2020,Juventud,Mujer,2
15001,2020,Juventud,Hombre,22
15001,2020,Primera infancia,Mujer,1
15001,2020,Primera infancia,Hombre,1
15001,2020,Vejez,Mujer,3
15001,2020,Vejez,Hombre,11
15001,2021,Adolescencia,Hombre,5
15001,2021,Adultez,Mujer,7
15001,2021,Adultez,Hombre,37
15001,2021,Infancia,Hombre,1
15001,2021,Juventud,Mujer,7
15001,2021,Juventud,Hombre,26
15001,2021,Vejez,Mujer,6
15001,2021,Vejez,Hombre,13
15001,2022,Adolescencia,Mujer,3
15001,2022,Adolescencia,Hombre,7
15001,2022,Adultez,Mujer,8
15001,2022,Adultez,Hombre,35
15001,2022,Infancia,Mujer,2
15001,2022,Juventud,Mujer,8
15001,2022,Juventud,Hombre,29
15001,2022,Primera infancia,Mujer,2
15001,2022,Primera infancia,Hombre,5
15001,2022,Vejez,Mujer,12
15001,2022,Vejez,Hombre,16
15001,2023,Adolescencia,Hombre,3
15001,2023,Adultez,Mujer,6
15001,2023,Adultez,Hombre,34
15001,2023,Juventud,Mujer,7
15001,2023,Juventud,Hombre,37
15001,2023,Primera infancia,Mujer,4
15001,2023,Vejez,Mujer,6
15001,2023,Vejez,Hombre,17
15001,2024,Adolescencia,Mujer,2
15001,2024,Adolescencia,Hombre,4
15001,2024,Adultez,Mujer,4
15001,2024,Adultez,Hombre,27
15001,2024,Juventud,Mujer,4
15001,2024,Juventud,Hombre,10
15001,2024,Primera infancia,Hombre,3
15001,2024,Vejez,Mujer,3
15001,2024,Vejez,Hombre,7
15176,2020,Adolescencia,Hombre,1
15176,2020,Adultez,Hombre,1
15176,2020,Juventud,Hombre,1
15176,2020,Primera infancia,Hombre,1
15176,2020,Vejez,Mujer,2
15176,2021,Adultez,Hombre,4
15176,2021,Juventud,Hombre,6
15176,2021,Vejez,Hombre,2
15176,2022,Adultez,Hombre,8
15176,2022,Juventud,Hombre,3
15176,2022,Vejez,Mujer,1
15176,2022,Vejez,Hombre,1
15176,2023,Adultez,Mujer,2
15176,2023,Adultez,Hombre,5
15176,2023,Juventud,Hombre,2
15176,2023,Vejez,Hombre,2
15176,2024,Juventud,Hombre,2
15176,2024,Primera infancia,Mujer,1
15176,2024,Vejez,Mujer,1
15176,2024,Vejez,Hombre,1
15238,2020,Adolescencia,Hombre,2
15238,2020,Adultez,Mujer,3
15238,2020,Adultez,Hombre,22
15238,2020,Infancia,Hombre,1
15238,2020,Juventud,Mujer,2
15238,2020,Juventud,Hombre,9
15238,2020,Vejez,Mujer,1
15238,2020,Vejez,Hombre,4
15238,2021,Adolescencia,Hombre,3
15238,2021,Adultez,Mujer,1
15238,2021,Adultez,Hombre,19
15238,2021,Infancia,Hombre,1
15238,2021,Juventud,Mujer,1
15238,2021,Juventud,Hombre,10
15238,2021,Vejez,Mujer,2
15238,2021,Vejez,Hombre,9
15238,2022,Adolescencia,Hombre,1
15238,2022,Adultez,Mujer,3
15238,2022,Adultez,Hombre,20
15238,2022,Juventud,Mujer,2
15238,2022,Juventud,Hombre,13
15238,2022,Vejez,Mujer,4
