Departamento,Población,2018,2019,2020,2021
Boyacá,CA,0.052000,0.037000,0.031000,0.040000
Boyacá,CPRD,0.164000,0.157000,0.120000,0.122000
Cundinamarca,CA,0.041000,0.040000,0.029000,0.042000
Cundinamarca,CPRD,0.113000,0.090000,0.062000,0.071000
Meta,CA,0.058000,0.081000,0.054000,0.049000
Meta,CPRD,0.133000,0.114000,0.084000,0.112000
Norte de Santander,CA,0.105000,0.072000,0.087000,0.081000
Norte de Santander,CPRD,0.219000,0.227000,0.140000,0.163000
Santander,CA,0.054000,0.052000,0.057000,0.041000
Santander,CPRD,0.202000,0.158000,0.144000,0.159000
