Provincia,Casos
Distrito Fronterizo,131
Occidente,121
Manejo Especial,69
Lengupá,44
La Libertad,42
Neira,27
Ricaurte,16
Valderrama,5
Oriente,4
Tundama,3
Centro,2
Norte,2
Márquez,1
