geo,Municipio,Casos,Año
15090,Berbeo,1,2021
15090,Berbeo,3,2023
15106,Briceño,1,2025
15109,Buenavista,1,2022
15109,Buenavista,1,2023
15109,Buenavista,1,2024
15131,Caldas,1,2021
15135,Campohermoso,2,2020
15135,Campohermoso,3,2021
15135,Campohermoso,1,2022
15135,Campohermoso,1,2023
15135,Campohermoso,3,2024
15135,Campohermoso,2,2025
15176,Chiquinquirá,1,2020
15183,Chita,2,2021
15185,Chitaraque,2,2020
15185,Chitaraque,1,2022
15185,Chitaraque,1,2023
15212,Coper,2,2020
15212,Coper,2,2021
15212,Coper,1,2025
15218,Covarachia,1,2023
15223,Cubará,17,2020
15223,Cubará,24,2021
15223,Cubará,24,2022
15223,Cubará,27,2023
15223,Cubará,21,2024
15223,Cubará,18,2025
15232,Chíquiza,1,2024
15236,Chivor,1,2025
15299,Garagoa,1,2021
15299,Garagoa,1,2023
15299,Garagoa,1,2024
15322,Guateque,1,2023
15377,Labranza Grande,2,2020
15377,Labranza Grande,1,2021
15377,Labranza Grande,2,2022
15377,Labranza Grande,4,2023
15377,Labranza Grande,3,2025
15380,La Capilla,1,2020
15380,La Capilla,1,2025
15442,Maripí,3,2020
15442,Maripí,4,2021
15442,Maripí,3,2022
15442,Maripí,2,2023
15442,Maripí,4,2024
15442,Maripí,2,2025
15455,Miraflores,2,2020
15455,Miraflores,1,2021
15455,Miraflores,1,2022
15455,Miraflores,1,2023
15455,Miraflores,1,2024
15469,Moniquira,1,2022
15469,Moniquira,1,2023
15469,Moniquira,1,2024
15480,Muzo,3,2020
15480,Muzo,6,2021
15480,Muzo,3,2022
15480,Muzo,3,2023
15480,Muzo,3,2024
15480,Muzo,2,2025
15507,Otanche,3,2020
15507,Otanche,6,2021
15507,Otanche,4,2022
15507,Otanche,4,2023
15507,Otanche,5,2024
15507,Otanche,5,2025
15514,Páez,3,2020
15514,Páez,2,2021
15514,Páez,6,2022
15514,Páez,1,2023
15514,Páez,1,2024
15514,Páez,3,2025
15516,Paipa,1,2020
15518,Pajarito,1,2020
15518,Pajarito,2,2021
15518,Pajarito,1,2022
15518,Pajarito,1,2023
15518,Pajarito,1,2025
15531,Pauna,1,2020
15531,Pauna,3,2021
15531,Pauna,2,2022
15531,Pauna,1,2024
15531,Pauna,3,2025
15533,Paya,1,2020
15533,Paya,5,2021
15533,Paya,3,2023
15533,Paya,6,2024
15533,Paya,5,2025
15550,Pisba,1,2021
15550,Pisba,2,2022
15550,Pisba,1,2024
15572,Puerto Boyacá,16,2020
15572,Puerto Boyacá,5,2021
15572,Puerto Boyacá,10,2022
15572,Puerto Boyacá,17,2023
15572,Puerto Boyacá,10,2024
15572,Puerto Boyacá,11,2025
15580,Quípama,3,2020
15580,Quípama,4,2021
15580,Quípama,1,2022
15580,Quípama,3,2023
15580,Quípama,1,2024
15580,Quípama,5,2025
15660,San Eduardo,1,2025
15664,San José De Pare,1,2024
15667,San Luis De Gaceno,6,2020
15667,San Luis De Gaceno,1,2021
15667,San Luis De Gaceno,2,2022
15667,San Luis De Gaceno,2,2023
15667,San Luis De Gaceno,4,2024
15667,San Luis De Gaceno,3,2025
15681,San Pablo De Borbur,3,2020
15681,San Pablo De Borbur,3,2021
15681,San Pablo De Borbur,6,2022
15681,San Pablo De Borbur,1,2023
15681,San Pablo De Borbur,1,2024
15681,San Pablo De Borbur,2,2025
15690,Santa María,1,2020
15690,Santa María,1,2021
15690,Santa María,3,2023
15690,Santa María,1,2024
15693,Santa Rosa De Viterbo,1,2022
15693,Santa Rosa De Viterbo,1,2023
15720,Sativanorte,1,2025
15755,Socotá,1,2022
15755,Socotá,1,2024
15755,Socotá,1,2025
15776,Sutamarchàn,1,2020
15804,Tibana,1,2022
15816,Togüí,1,2020
15816,Togüí,1,2022
15816,Togüí,3,2024
15816,Togüí,2,2025
15832,Tununguá,1,2023
15832,Tununguá,1,2025
15837,Tuta,1,2025
15897,Zetaquirá,2,2020
15897,Zetaquirá,2,2022
15897,Zetaquirá,1,2023
