Año,Hombres,Mujeres
2020,619570,637719
2021,626709,644930
2022,633540,651495
2023,640760,658040
2024,647741,664242
2025,654208,669914
2026,660257,675153
2027,666036,680128
2028,671582,684880
2029,676944,689435
2030,682153,693834
