geo,Rango de edad,Casos
15001,Adultez,2
15051,Adultez,1
15114,Adultez,1
15176,Adultez,1
15176,Juventud,1
15204,Adultez,1
15244,Adultez,1
15325,Adultez,1
15686,Adultez,1
15757,Adultez,1
15759,Adultez,2
15759,Juventud,2
15814,Adultez,1
15814,Juventud,1
15832,Adultez,1
15897,Adultez,1
