RELACIÓN DEL VICTIMARIO,Enero 2020 a Junio 2024
COMPAÑERO SENTIMENTAL,11
NOVIO,2
EX COMPAÑERO SENTIMENTAL,2
DESCONOCIDO,1
TIO,1
VECINO,1
EX NOVIO,1
