geo,Año,Ciclo,Áreas cosechadas
15001,2019,Permanente,3.000000
15001,2019,Transitorio,160.000000
15001,2019,Transitorio,20.000000
15001,2019,Transitorio,180.000000
15001,2019,Transitorio,120.000000
15001,2019,Transitorio,300.000000
15001,2019,Transitorio,170.000000
15001,2019,Transitorio,2600.000000
15001,2019,Transitorio,80.000000
15001,2019,Transitorio,100.000000
15001,2019,Transitorio,15.000000
15001,2019,Transitorio,100.000000
15001,2019,Transitorio,300.000000
15001,2019,Transitorio,2000.000000
15001,2019,Transitorio,50.000000
15022,2019,Permanente,0.000000
15022,2019,Permanente,8.000000
15022,2019,Transitorio,58.000000
15022,2019,Transitorio,1.000000
15022,2019,Transitorio,2.000000
15022,2019,Transitorio,6.000000
15022,2019,Transitorio,5.000000
15022,2019,Transitorio,2.000000
15022,2019,Transitorio,10.000000
15022,2019,Transitorio,0.000000
15022,2019,Transitorio,5.000000
15022,2019,Transitorio,3.000000
15022,2019,Transitorio,3.000000
15022,2019,Transitorio,12.000000
15047,2019,Permanente,2.000000
15047,2019,Permanente,1.000000
15047,2019,Permanente,1.000000
15047,2019,Transitorio,1350.000000
15047,2019,Transitorio,250.000000
15047,2019,Transitorio,30.000000
15047,2019,Transitorio,1400.000000
15047,2019,Transitorio,60.000000
15047,2019,Transitorio,25.000000
15051,2019,Permanente,6.000000
15051,2019,Permanente,15.000000
15051,2019,Permanente,97.000000
15051,2019,Permanente,16.000000
15051,2019,Permanente,10.000000
15051,2019,Transitorio,8.000000
15051,2019,Transitorio,2.000000
15051,2019,Transitorio,1250.000000
15051,2019,Transitorio,8.000000
15051,2019,Transitorio,2.000000
15051,2019,Transitorio,1250.000000
15087,2019,Permanente,2.000000
15087,2019,Permanente,2.000000
15087,2019,Permanente,2.000000
15087,2019,Permanente,2.000000
15087,2019,Permanente,3.000000
15087,2019,Permanente,4.000000
15087,2019,Permanente,5.000000
15087,2019,Transitorio,16.000000
15087,2019,Transitorio,2.000000
15087,2019,Transitorio,12.000000
15087,2019,Transitorio,3.000000
15087,2019,Transitorio,3.000000
15087,2019,Transitorio,24.000000
15087,2019,Transitorio,4.000000
15087,2019,Transitorio,240.000000
15087,2019,Transitorio,27.000000
15087,2019,Transitorio,18.000000
15087,2019,Transitorio,3.000000
15087,2019,Transitorio,4.000000
15087,2019,Transitorio,19.000000
15087,2019,Transitorio,3.000000
15087,2019,Transitorio,320.000000
15087,2019,Transitorio,35.000000
15090,2019,Permanente,4.000000
15090,2019,Permanente,4.000000
15090,2019,Permanente,17.000000
15090,2019,Permanente,5.000000
15090,2019,Permanente,1.000000
15090,2019,Transitorio,15.000000
15090,2019,Transitorio,4.000000
15090,2019,Transitorio,8.000000
15090,2019,Transitorio,12.000000
15090,2019,Transitorio,5.000000
