Departamento,Población,2018,2019,2020,2021
Boyacá,CA,0.002000,0.005000,0.005000,0.019000
Boyacá,CPRD,0.179000,0.197000,0.133000,0.164000
Cundinamarca,CA,0.021000,0.050000,0.038000,0.046000
Cundinamarca,CPRD,0.048000,0.074000,0.021000,0.039000
Meta,CA,0.025000,0.046000,0.040000,0.039000
Meta,CPRD,0.083000,0.063000,0.095000,0.112000
Norte de Santander,CA,0.040000,0.053000,0.044000,0.027000
Norte de Santander,CPRD,0.280000,0.237000,0.261000,0.229000
Santander,CA,0.021000,0.041000,0.034000,0.034000
Santander,CPRD,0.151000,0.183000,0.142000,0.154000
