geo,Año,Alfabetizados,Población,Tasa de analfabetismo
15317,2022,,91,0.064130
15317,2023,0,91,0.048663
15322,2019,0,324,0.037092
15322,2020,0,324,0.036668
15322,2021,,324,0.036315
15322,2022,,324,0.035976
15322,2023,0,324,0.029139
15325,2019,0,260,0.092758
15325,2020,0,260,0.092527
15325,2021,,260,0.091678
15325,2022,,260,0.090973
15325,2023,0,260,0.075188
15362,2019,0,66,0.044177
15362,2020,1,65,0.042904
15362,2021,,65,0.042456
15362,2022,,65,0.042098
15362,2023,0,65,0.031941
15367,2019,0,478,0.087482
15367,2020,0,478,0.086626
15367,2021,23,455,0.081761
15367,2022,,455,0.081062
15367,2023,0,455,0.060804
15368,2019,0,380,0.131807
15368,2020,0,380,0.132082
15368,2021,20,360,0.124010
15368,2022,,360,0.122993
15368,2023,0,360,0.090772
15377,2019,0,388,0.139619
15377,2020,0,388,0.139769
15377,2021,,388,0.138571
15377,2022,,388,0.137394
15377,2023,0,388,0.108928
15380,2019,0,158,0.074039
15380,2020,0,158,0.073763
15380,2021,,158,0.073080
15380,2022,,158,0.072477
15380,2023,0,158,0.057580
15401,2019,42,65,0.072142
15401,2020,14,51,0.056541
15401,2021,,51,0.055982
15401,2022,,51,0.055495
15401,2023,0,51,0.044776
15403,2019,0,138,0.061443
15403,2020,0,138,0.063594
15403,2021,,138,0.062985
15403,2022,,138,0.062443
15403,2023,0,138,0.049569
15407,2019,11,363,0.028201
15407,2020,0,363,0.027558
15407,2021,,363,0.027303
15407,2022,,363,0.027063
15407,2023,0,363,0.020969
15425,2019,0,236,0.059282
15425,2020,0,236,0.058677
15425,2021,,236,0.058185
15425,2022,,236,0.057674
15425,2023,0,236,0.045630
15442,2019,42,586,0.134868
15442,2020,14,572,0.131888
15442,2021,,572,0.130863
15442,2022,,572,0.129852
15442,2023,0,572,0.098706
15455,2019,0,451,0.063899
15455,2020,0,451,0.063210
15455,2021,,451,0.062613
15455,2022,,451,0.062070
15455,2023,0,451,0.049059
15464,2019,0,241,0.070757
15464,2020,1,240,0.070340
15464,2021,,240,0.069707
15464,2022,,240,0.069124
15464,2023,0,240,0.050955
15466,2019,0,220,0.069532
15466,2020,1,219,0.068695
15466,2021,,219,0.067991
15466,2022,,219,0.067322
15466,2023,0,219,0.050034
15469,2019,11,1355,0.076106
15469,2020,0,1355,0.075240
15469,2021,128,1227,0.067488
15469,2022,,1227,0.066896
15469,2023,0,1227,0.052235
15476,2019,37,174,0.043620
15476,2020,72,102,0.025273
15476,2021,,102,0.025061
15476,2022,,102,0.024848
15476,2023,0,102,0.017535
15480,2019,42,570,0.087909
15480,2020,14,556,0.086389
15480,2021,,556,0.085565
15480,2022,,556,0.084821
15480,2023,0,556,0.064961
15491,2019,0,274,0.021925
15491,2020,1,273,0.021540
15491,2021,,273,0.021346
15491,2022,,273,0.021166
15491,2023,0,273,0.016276
15494,2019,0,260,0.065789
15494,2020,0,260,0.065163
15494,2021,,260,0.064628
15494,2022,,260,0.064118
15494,2023,0,260,0.048872
15500,2019,37,93,0.042956
15500,2020,72,21,0.009589
15500,2021,,21,0.009519
15500,2022,,21,0.009455
15500,2023,0,21,0.007123
15507,2019,42,521,0.088051
15507,2020,14,507,0.085555
15507,2021,,507,0.084768
15507,2022,,507,0.084052
15507,2023,0,507,0.062117
15511,2019,0,165,0.082500
15511,2020,0,165,0.082665
15511,2021,,165,0.082008
15511,2022,,165,0.081321
15511,2023,0,165,0.066292
15514,2019,0,182,0.074044
15514,2020,0,182,0.074195
15514,2021,,182,0.073446
15514,2022,,182,0.072800
15514,2023,0,182,0.055018
15516,2019,0,784,0.029626
15516,2020,0,784,0.029130
15516,2021,74,710,0.026122
15516,2022,,710,0.025888
15516,2023,0,710,0.020074
15518,2019,0,125,0.069716
15518,2020,0,125,0.069214
15518,2021,,125,0.068606
15518,2022,,125,0.068009
15518,2023,0,125,0.050772
15522,2019,0,117,0.090839
15522,2020,0,117,0.090839
15522,2021,,117,0.090000
15522,2022,,117,0.089109
15522,2023,0,117,0.067630
15531,2019,42,872,0.153928
15531,2020,14,858,0.150977
15531,2021,,858,0.149764
15531,2022,,858,0.148546
15531,2023,0,858,0.116671
15533,2019,0,202,0.111664
15533,2020,0,202,0.110624
15533,2021,,202,0.109604
15533,2022,,202,0.108661
15533,2023,0,202,0.075177
15537,2019,0,183,0.055471
15537,2020,0,183,0.055742
15537,2021,25,158,0.047633
15537,2022,,158,0.047235
15537,2023,0,158,0.036907
15542,2019,0,405,0.081571
15542,2020,1,404,0.081616
15542,2021,,404,0.080832
15542,2022,,404,0.080095
15542,2023,0,404,0.058866
15550,2019,0,109,0.087410
15550,2020,0,109,0.086508
15550,2021,,109,0.085827
15550,2022,,109,0.085023
15550,2023,0,109,0.059628
15572,2019,42,2624,0.074717
15572,2020,14,2610,0.073066
15572,2021,75,2535,0.070233
15572,2022,15,2520,0.069155
15572,2023,18,2502,0.050821
15580,2019,42,422,0.108511
15580,2020,14,408,0.103949
15580,2021,,408,0.103134
15580,2022,,408,0.102358
15580,2023,0,408,0.080315
15599,2019,0,516,0.068763
15599,2020,0,516,0.068029
15599,2021,,516,0.067398
15599,2022,,516,0.066787
15599,2023,0,516,0.050219
15600,2019,11,546,0.090159
15600,2020,0,546,0.089347
15600,2021,,546,0.088622
15600,2022,,546,0.087909
15600,2023,0,546,0.066699
15621,2019,0,159,0.087507
15621,2020,0,159,0.087748
15621,2021,44,115,0.062979
15621,2022,,115,0.062466
15621,2023,0,115,0.047521
15632,2019,42,683,0.067046
15632,2020,14,669,0.065071
15632,2021,,669,0.064550
15632,2022,,669,0.064038
15632,2023,0,669,0.047373
15638,2019,11,186,0.045949
15638,2020,0,186,0.045047
15638,2021,,186,0.044604
15638,2022,,186,0.044202
15638,2023,0,186,0.032124
15646,2019,37,659,0.049620
15646,2020,72,587,0.043582
15646,2021,62,525,0.038611
15646,2022,,525,0.038268
15646,2023,0,525,0.027354
15660,2019,0,104,0.077209
15660,2020,0,104,0.077844
15660,2021,,104,0.077151
15660,2022,,104,0.076527
15660,2023,0,104,0.061429
15664,2019,11,481,0.123650
15664,2020,0,481,0.123239
15664,2021,,481,0.122298
15664,2022,,481,0.121342
15664,2023,0,481,0.094351
15667,2019,0,317,0.075315
15667,2020,0,317,0.075225
15667,2021,,317,0.074536
15667,2022,,317,0.073876
15667,2023,0,317,0.056800
15673,2019,0,247,0.100244
15673,2020,0,247,0.102447
15673,2021,,247,0.101521
15673,2022,,247,0.100652
15673,2023,0,247,0.077357
15676,2019,42,72,0.032476
15676,2020,14,58,0.026091
15676,2021,,58,0.025904
15676,2022,,58,0.025698
15676,2023,0,58,0.018893
15681,2019,42,469,0.094671
15681,2020,14,455,0.091073
15681,2021,,455,0.090296
15681,2022,,455,0.089602
15681,2023,0,455,0.066443
15686,2019,11,584,0.100137
15686,2020,0,584,0.099151
15686,2021,65,519,0.087330
15686,2022,,519,0.086572
15686,2023,0,519,0.066014
15690,2019,0,211,0.077374
15690,2020,0,211,0.077602
15690,2021,,211,0.076895
15690,2022,,211,0.076201
15690,2023,0,211,0.059153
15693,2019,0,361,0.033878
15693,2020,0,361,0.033513
15693,2021,,361,0.033214
15693,2022,,361,0.032935
15693,2023,0,361,0.026568
15696,2019,11,185,0.076923
15696,2020,0,185,0.076383
15696,2021,,185,0.075696
15696,2022,,185,0.075081
15696,2023,0,185,0.056489
15720,2019,0,133,0.076393
15720,2020,0,133,0.077101
15720,2021,,133,0.076525
15720,2022,,133,0.076000
15720,2023,0,133,0.060592
15723,2019,0,38,0.044444
15723,2020,0,38,0.044186
15723,2021,,38,0.043779
15723,2022,,38,0.043429
15723,2023,0,38,0.033718
15740,2019,37,377,0.080676
15740,2020,72,305,0.064935
15740,2021,,305,0.064373
15740,2022,,305,0.063794
15740,2023,0,305,0.044152
15753,2019,0,373,0.052580
15753,2020,0,373,0.052900
15753,2021,,373,0.052366
15753,2022,,373,0.051885
15753,2023,0,373,0.041417
15755,2019,0,587,0.113386
15755,2020,0,587,0.113540
15755,2021,52,535,0.102608
15755,2022,,535,0.101730
15755,2023,0,535,0.072759
15757,2019,0,298,0.050126
15757,2020,0,298,0.049601
15757,2021,,298,0.049126
15757,2022,,298,0.048685
15757,2023,0,298,0.036143
15761,2019,0,186,0.076323
15761,2020,0,186,0.076417
15761,2021,32,154,0.062780
15761,2022,,154,0.062348
15761,2023,0,154,0.052434
15762,2019,37,113,0.050901
15762,2020,72,41,0.018279
15762,2021,,41,0.018126
15762,2022,,41,0.017975
15762,2023,0,41,0.013066
15763,2019,37,256,0.042596
15763,2020,72,184,0.030343
15763,2021,,184,0.030085
15763,2022,,184,0.029831
15763,2023,0,184,0.021726
15764,2019,37,327,0.076331
15764,2020,72,255,0.058946
15764,2021,,255,0.058459
15764,2022,,255,0.057981
15764,2023,0,255,0.041209
15774,2019,0,182,0.085206
15774,2020,0,182,0.085126
15774,2021,,182,0.084337
15774,2022,,182,0.083601
15774,2023,0,182,0.066014
15776,2019,11,284,0.060195
15776,2020,0,284,0.059514
15776,2021,,284,0.058995
15776,2022,,284,0.058508
15776,2023,0,284,0.044710
15778,2019,0,309,0.090589
15778,2020,0,309,0.090536
15778,2021,,309,0.089721
15778,2022,,309,0.088998
15778,2023,0,309,0.071777
15790,2019,0,221,0.050735
15790,2020,0,221,0.050957
15790,2021,,221,0.050526
15790,2022,,221,0.050102
15790,2023,0,221,0.037420
15798,2019,0,205,0.065204
15798,2020,0,205,0.065245
15798,2021,29,176,0.055538
15798,2022,,176,0.055086
15798,2023,0,176,0.045175
15804,2019,0,640,0.092299
15804,2020,0,640,0.091848
15804,2021,,640,0.091077
15804,2022,,640,0.090357
15804,2023,0,640,0.068825
15806,2019,0,355,0.034661
15806,2020,1,354,0.033999
15806,2021,,354,0.033692
15806,2022,,354,0.033403
15806,2023,0,354,0.025909
15808,2019,11,136,0.053586
15808,2020,0,136,0.052918
15808,2021,,136,0.052469
15808,2022,,136,0.052028
15808,2023,0,136,0.039789
15810,2019,0,271,0.106988
15810,2020,0,271,0.107072
15810,2021,,271,0.106150
15810,2022,,271,0.105284
15810,2023,0,271,0.080775
15814,2019,37,264,0.041706
15814,2020,72,192,0.030061
15814,2021,,192,0.029772
15814,2022,,192,0.029498
15814,2023,0,192,0.021173
15820,2019,0,146,0.054114
15820,2020,1,145,0.053114
15820,2021,,145,0.052612
15820,2022,,145,0.052177
15820,2023,0,145,0.038451
15822,2019,0,366,0.099106
15822,2020,1,365,0.098250
15822,2021,,365,0.097411
15822,2022,,365,0.096612
15822,2023,0,365,0.068403
15832,2019,42,67,0.058618
15832,2020,14,53,0.045808
15832,2021,,53,0.045455
15832,2022,,53,0.045068
15832,2023,0,53,0.032981
15835,2019,0,356,0.075217
15835,2020,0,356,0.074806
15835,2021,,356,0.074151
15835,2022,,356,0.073539
15835,2023,0,356,0.056715
15837,2019,37,265,0.042749
15837,2020,72,193,0.030757
15837,2021,18,175,0.027637
15837,2022,,175,0.027404
15837,2023,0,175,0.020280
15839,2019,0,95,0.062665
15839,2020,0,95,0.062582
15839,2021,,95,0.062010
15839,2022,,95,0.061608
15839,2023,0,95,0.045695
15842,2019,0,465,0.082025
15842,2020,0,465,0.081765
15842,2021,,465,0.081138
15842,2022,,465,0.080492
15842,2023,0,465,0.060382
15861,2019,37,586,0.050409
15861,2020,72,514,0.043704
15861,2021,30,484,0.040803
15861,2022,,484,0.040472
15861,2023,0,484,0.029489
15879,2019,0,166,0.076217
15879,2020,0,166,0.076357
15879,2021,,166,0.075834
15879,2022,,166,0.075318
15879,2023,0,166,0.057961
15897,2019,0,442,0.124859
15897,2020,0,442,0.124577
15897,2021,,442,0.123533
15897,2022,,442,0.122540
15897,2023,0,442,0.093723
