geo,Municipio,Viviendas,Año
15317,Guacamayas,191,2024
15322,Guateque,277,2020
15322,Guateque,229,2021
15322,Guateque,128,2022
15322,Guateque,172,2023
15322,Guateque,117,2024
15325,Guayatá,891,2020
15325,Guayatá,864,2021
15325,Guayatá,867,2022
15325,Guayatá,864,2023
15325,Guayatá,817,2024
15332,Güicán,484,2020
15332,Güicán,488,2021
15332,Güicán,0,2022
15332,Güicán,537,2023
15332,Güicán,538,2024
15362,Iza,214,2020
15362,Iza,166,2021
15362,Iza,0,2022
15362,Iza,147,2023
15362,Iza,134,2024
15367,Jenesano,827,2020
15367,Jenesano,802,2021
15367,Jenesano,460,2022
15367,Jenesano,547,2023
15367,Jenesano,460,2024
15368,Jericó,663,2020
15368,Jericó,646,2021
15368,Jericó,648,2022
15368,Jericó,629,2023
15368,Jericó,574,2024
15377,Labranza Grande,1432,2020
15377,Labranza Grande,1338,2021
15377,Labranza Grande,0,2022
15377,Labranza Grande,1247,2023
15377,Labranza Grande,1208,2024
15380,La Capilla,100,2020
15380,La Capilla,91,2021
15380,La Capilla,99,2022
15380,La Capilla,90,2023
15380,La Capilla,84,2024
15401,La Victoria,142,2020
15401,La Victoria,135,2021
15401,La Victoria,139,2022
15401,La Victoria,146,2023
15401,La Victoria,157,2024
15403,La Uvita,345,2020
15403,La Uvita,348,2021
15403,La Uvita,355,2022
15403,La Uvita,363,2023
15403,La Uvita,367,2024
15407,Villa De Leyva,306,2020
15407,Villa De Leyva,0,2021
15407,Villa De Leyva,0,2022
15407,Villa De Leyva,0,2023
15407,Villa De Leyva,0,2024
15425,Macanal,683,2020
15425,Macanal,625,2021
15425,Macanal,585,2022
15425,Macanal,571,2023
15425,Macanal,560,2024
15442,Maripí,1047,2020
15442,Maripí,1051,2021
15442,Maripí,1006,2022
15442,Maripí,1032,2023
15442,Maripí,1014,2024
15455,Miraflores,149,2020
15455,Miraflores,142,2021
15455,Miraflores,109,2022
15455,Miraflores,103,2023
15455,Miraflores,113,2024
15464,Mongua,698,2020
15464,Mongua,701,2021
15464,Mongua,0,2022
15464,Mongua,722,2023
15464,Mongua,711,2024
15466,Monguì,1442,2020
15466,Monguì,1381,2021
15466,Monguì,1071,2022
15466,Monguì,1321,2023
15466,Monguì,1291,2024
15469,Moniquira,944,2020
15469,Moniquira,739,2021
15469,Moniquira,437,2022
15469,Moniquira,778,2023
15469,Moniquira,493,2024
15476,Motavita,0,2020
15476,Motavita,0,2021
