geo,Municipio,Cultivo,Año,Rendimiento
15403,La Uvita,Arveja,2019,1
15403,La Uvita,Frijol,2019,0
15403,La Uvita,Frijol,2019,1
15403,La Uvita,Haba,2019,1
15403,La Uvita,Haba,2019,1
15407,Villa de Leiva,Frijol,2019,1
15407,Villa de Leiva,Frijol,2019,1
15425,Macanal,Arveja,2019,1
15425,Macanal,Arveja,2019,1
15425,Macanal,Frijol,2019,1
15425,Macanal,Frijol,2019,1
15442,Maripí,Arveja,2019,1
15442,Maripí,Frijol,2019,1
15455,Miraflores,Arveja,2019,1
15455,Miraflores,Arveja,2019,1
15455,Miraflores,Frijol,2019,2
15455,Miraflores,Frijol,2019,2
15464,Mongua,Arveja,2019,1
15464,Mongua,Arveja,2019,1
15464,Mongua,Haba,2019,1
15466,Monguí,Arveja,2019,1
15466,Monguí,Arveja,2019,0
15466,Monguí,Frijol,2019,0
15466,Monguí,Haba,2019,0
15469,Moniquirá,Frijol,2019,2
15469,Moniquirá,Frijol,2019,1
15476,Motavita,Arveja,2019,1
15476,Motavita,Arveja,2019,1
15476,Motavita,Haba,2019,1
15480,Muzo,Frijol,2019,1
15480,Muzo,Frijol,2019,1
15480,Muzo,Maní,2019,0
15480,Muzo,Maní,2019,0
15491,Nobsa,Frijol,2019,1
15491,Nobsa,Frijol,2019,1
15491,Nobsa,Haba,2019,1
15491,Nobsa,Haba,2019,2
15494,Nuevo Colón,Arveja,2019,1
15494,Nuevo Colón,Frijol,2019,0
15494,Nuevo Colón,Haba,2019,1
15494,Nuevo Colón,Haba,2019,1
15500,Oicatá,Arveja,2019,2
15500,Oicatá,Arveja,2019,2
15507,Otanche,Frijol,2019,0
15507,Otanche,Frijol,2019,2
15511,Pachavita,Arveja,2019,1
15511,Pachavita,Arveja,2019,1
15511,Pachavita,Frijol,2019,1
15511,Pachavita,Frijol,2019,1
15514,Páez,Frijol,2019,1
15514,Páez,Frijol,2019,1
15516,Paipa,Arveja,2019,2
15516,Paipa,Arveja,2019,2
15516,Paipa,Frijol,2019,1
15516,Paipa,Frijol,2019,1
15518,Pajarito,Frijol,2019,0
15518,Pajarito,Guandul,2019,1
15522,Panqueba,Frijol,2019,2
15531,Pauna,Frijol,2019,1
15531,Pauna,Frijol,2019,1
15531,Pauna,Habichuela,2019,15
15531,Pauna,Maní,2019,3
15531,Pauna,Maní,2019,3
15533,Paya,Arveja,2019,0
15533,Paya,Guandul,2019,0
15537,Paz de Río,Arveja,2019,1
15537,Paz de Río,Arveja,2019,1
15537,Paz de Río,Frijol,2019,2
15542,Pesca,Arveja,2019,1
15542,Pesca,Arveja,2019,1
15542,Pesca,Haba,2019,1
15542,Pesca,Haba,2019,1
15550,Pisba,Arveja,2019,0
15550,Pisba,Guandul,2019,0
15599,Ramiriquí,Arveja,2019,0
15599,Ramiriquí,Arveja,2019,2
15599,Ramiriquí,Frijol,2019,1
15599,Ramiriquí,Haba,2019,1
15600,Ráquira,Arveja,2019,2
15600,Ráquira,Arveja,2019,2
15600,Ráquira,Haba,2019,1
15600,Ráquira,Haba,2019,1
15600,Ráquira,Habichuela,2019,5
15600,Ráquira,Habichuela,2019,5
15621,Rondón,Arveja,2019,1
15621,Rondón,Arveja,2019,1
15621,Rondón,Frijol,2019,1
15621,Rondón,Frijol,2019,1
15632,Saboyá,Arveja,2019,1
15632,Saboyá,Arveja,2019,1
15646,Samacá,Arveja,2019,2
15646,Samacá,Arveja,2019,1
15646,Samacá,Frijol,2019,1
15660,San Eduardo,Arveja,2019,0
15660,San Eduardo,Frijol,2019,1
15660,San Eduardo,Frijol,2019,0
15664,San José de Pare,Arveja,2019,0
15664,San José de Pare,Frijol,2019,1
15664,San José de Pare,Frijol,2019,1
15664,San José de Pare,Habichuela,2019,5
15664,San José de Pare,Habichuela,2019,6
15673,San Mateo,Arveja,2019,1
15673,San Mateo,Frijol,2019,0
15673,San Mateo,Frijol,2019,0
15676,San Miguel de Sema,Arveja,2019,2
15676,San Miguel de Sema,Arveja,2019,2
15676,San Miguel de Sema,Frijol,2019,1
15676,San Miguel de Sema,Frijol,2019,1
15681,San Pablo de Borbur,Arveja,2019,0
15681,San Pablo de Borbur,Arveja,2019,0
15681,San Pablo de Borbur,Frijol,2019,0
15681,San Pablo de Borbur,Frijol,2019,0
15681,San Pablo de Borbur,Maní,2019,0
15681,San Pablo de Borbur,Maní,2019,0
15686,Santana,Frijol,2019,1
15686,Santana,Frijol,2019,1
15690,Santa María,Frijol,2019,1
15693,Santa Rosa de Viterbo,Arveja,2019,1
15693,Santa Rosa de Viterbo,Arveja,2019,1
15696,Santa Sofía,Arveja,2019,1
15720,Sativanorte,Arveja,2019,1
15720,Sativanorte,Arveja,2019,1
15720,Sativanorte,Frijol,2019,0
15720,Sativanorte,Frijol,2019,0
15720,Sativanorte,Haba,2019,1
15720,Sativanorte,Haba,2019,0
15723,Sativasur,Arveja,2019,0
15723,Sativasur,Arveja,2019,0
15723,Sativasur,Frijol,2019,1
15723,Sativasur,Haba,2019,1
15740,Siachoque,Arveja,2019,1
15740,Siachoque,Arveja,2019,1
15740,Siachoque,Haba,2019,2
15740,Siachoque,Haba,2019,2
15753,Soatá,Arveja,2019,1
15753,Soatá,Arveja,2019,1
15753,Soatá,Frijol,2019,1
15753,Soatá,Frijol,2019,1
15755,Socotá,Arveja,2019,2
15755,Socotá,Arveja,2019,0
15755,Socotá,Frijol,2019,0
15755,Socotá,Frijol,2019,1
15757,Socha,Arveja,2019,2
15757,Socha,Arveja,2019,0
15757,Socha,Frijol,2019,1
15757,Socha,Frijol,2019,1
15759,Sogamoso,Arveja,2019,1
15759,Sogamoso,Arveja,2019,1
15759,Sogamoso,Frijol,2019,1
15759,Sogamoso,Frijol,2019,0
15759,Sogamoso,Haba,2019,1
15759,Sogamoso,Haba,2019,1
15761,Somondoco,Frijol,2019,0
15761,Somondoco,Frijol,2019,1
15762,Sora,Arveja,2019,1
15762,Sora,Arveja,2019,1
15763,Sotaquirá,Arveja,2019,1
15763,Sotaquirá,Frijol,2019,2
15763,Sotaquirá,Haba,2019,1
15764,Soracá,Arveja,2019,1
15764,Soracá,Arveja,2019,1
15774,Susacón,Arveja,2019,0
15774,Susacón,Arveja,2019,1
15774,Susacón,Frijol,2019,1
15774,Susacón,Frijol,2019,1
15776,Sutamarchán,Arveja,2019,0
15776,Sutamarchán,Arveja,2019,1
15778,Sutatenza,Arveja,2019,1
15778,Sutatenza,Frijol,2019,1
15778,Sutatenza,Frijol,2019,1
15778,Sutatenza,Habichuela,2019,8
15778,Sutatenza,Habichuela,2019,8
15790,Tasco,Arveja,2019,1
15790,Tasco,Arveja,2019,1
15790,Tasco,Frijol,2019,1
15790,Tasco,Frijol,2019,1
15790,Tasco,Haba,2019,1
15798,Tenza,Arveja,2019,0
15798,Tenza,Arveja,2019,1
15798,Tenza,Frijol,2019,1
15798,Tenza,Frijol,2019,1
15798,Tenza,Habichuela,2019,12
15798,Tenza,Habichuela,2019,12
15804,Tibaná,Arveja,2019,1
15804,Tibaná,Arveja,2019,1
15804,Tibaná,Frijol,2019,1
15804,Tibaná,Frijol,2019,1
15806,Tibasosa,Arveja,2019,4
15808,Tinjacá,Arveja,2019,1
15808,Tinjacá,Arveja,2019,0
15808,Tinjacá,Frijol,2019,0
15808,Tinjacá,Frijol,2019,0
15808,Tinjacá,Habichuela,2019,8
15808,Tinjacá,Habichuela,2019,8
15810,Tipacoque,Frijol,2019,1
15810,Tipacoque,Frijol,2019,0
15814,Toca,Arveja,2019,1
15814,Toca,Arveja,2019,0
15816,Togüí,Frijol,2019,1
15816,Togüí,Frijol,2019,1
15820,Tópaga,Arveja,2019,1
15820,Tópaga,Arveja,2019,1
15822,Tota,Arveja,2019,1
15822,Tota,Arveja,2019,1
15822,Tota,Haba,2019,2
15822,Tota,Haba,2019,2
15832,Tununguá,Frijol,2019,2
15832,Tununguá,Frijol,2019,2
15835,Turmequé,Arveja,2019,1
15835,Turmequé,Arveja,2019,1
15835,Turmequé,Frijol,2019,1
15835,Turmequé,Frijol,2019,1
