Municipio,Valor
Almeida,1
Arcabuco,1
Betéitiva,1
Boyacá,1
Buenavista,1
Caldas,1
Cerinza,1
Chinavita,1
Chiscas,1
Chitaraque,1
Ciénega,1
Corrales,1
