Departamento,Población,2018,2019,2020,2021
Boyacá,CA,0.007000,0.007000,0.007000,0.007000
Boyacá,CPRD,0.032000,0.020000,0.018000,0.021000
Cundinamarca,CA,0.006000,0.011000,0.005000,0.006000
Cundinamarca,CPRD,0.026000,0.027000,0.009000,0.011000
Meta,CA,0.018000,0.020000,0.010000,0.009000
Meta,CPRD,0.040000,0.026000,0.027000,0.024000
Norte de Santander,CA,0.025000,0.026000,0.024000,0.022000
Norte de Santander,CPRD,0.054000,0.053000,0.035000,0.057000
Santander,CA,0.010000,0.010000,0.004000,0.013000
Santander,CPRD,0.035000,0.032000,0.022000,0.031000
