Años,Categoría A1,Categoría A,Categoría B,Categoría C,Categoría C,Reconocido
2015,1,8,24,66,32,3
2017,5,11,32,96,0,29
2019,8,23,61,95,0,7
2021,8,26,64,95,0,16
