geo,Municipio,Cultivo,Año,Rendimiento
15001,Tunja,Fresa,2019,10
15022,Almeida,Granadilla,2019,0
15022,Almeida,Lulo,2019,22
15047,Aquitania,Fresa,2019,36
15047,Aquitania,Gulupa o cholupa,2019,20
15047,Aquitania,Uchuva,2019,15
15051,Arcabuco,Arándano,2019,9
15051,Arcabuco,Fresa,2019,20
15051,Arcabuco,Mora,2019,15
15051,Arcabuco,Tomate de árbol,2019,20
15051,Arcabuco,Uchuva,2019,12
15087,Belén,Ciruela,2019,4
15087,Belén,Durazno o Albaricoque,2019,9
15087,Belén,Mora,2019,2
15087,Belén,Feijoa,2019,14
15087,Belén,Curuba,2019,4
15087,Belén,Tomate de árbol,2019,4
15087,Belén,Uchuva,2019,2
15090,Berbeo,Pitahaya,2019,4
15090,Berbeo,Plátano consumo interno,2019,2
15090,Berbeo,Chamba,2019,5
15090,Berbeo,Maracuyá,2019,30
15092,Betéitiva,Durazno o Albaricoque,2019,4
15092,Betéitiva,Uchuva,2019,15
15097,Boavita,Durazno o Albaricoque,2019,20
15097,Boavita,Otros cítricos,2019,8
15097,Boavita,Mango demás variedades,2019,3
15097,Boavita,Plátano consumo interno,2019,3
15104,Boyacá,Mora,2019,8
15104,Boyacá,Tomate de árbol,2019,32
15106,Briceño,Guanábana,2019,19
15106,Briceño,Naranja demás variedades,2019,13
15106,Briceño,Aguacate demás variedades,2019,9
15106,Briceño,Mora,2019,10
15106,Briceño,Pitahaya,2019,4
15106,Briceño,Plátano consumo interno,2019,1
15106,Briceño,Guayaba,2019,7
15106,Briceño,Lulo,2019,8
15109,Buenavista,Guanábana,2019,14
15109,Buenavista,Limón Tahiti,2019,0
15109,Buenavista,Mandarina demás variedades,2019,15
15109,Buenavista,Naranja demás variedades,2019,18
15109,Buenavista,Aguacate demás variedades,2019,9
15109,Buenavista,Mora,2019,8
15109,Buenavista,Gulupa o cholupa,2019,18
15109,Buenavista,Tomate de árbol,2019,17
15114,Busbanzá,Durazno o Albaricoque,2019,0
15114,Busbanzá,Higo,2019,0
15114,Busbanzá,Feijoa,2019,0
15131,Caldas,Fresa,2019,23
15131,Caldas,Mora,2019,4
15131,Caldas,Papayuela -Babaco,2019,7
15131,Caldas,Curuba,2019,8
15131,Caldas,Tomate de árbol,2019,20
15135,Campohermoso,Aguacate demás variedades,2019,0
15135,Campohermoso,Mora,2019,5
15135,Campohermoso,Plátano consumo interno,2019,9
15135,Campohermoso,Granadilla,2019,2
15162,Cerinza,Durazno o Albaricoque,2019,15
15162,Cerinza,Manzana,2019,12
15162,Cerinza,Uchuva,2019,10
15172,Chinavita,Aguacate demás variedades,2019,5
15172,Chinavita,Mora,2019,7
15172,Chinavita,Plátano consumo interno,2019,8
15172,Chinavita,Granadilla,2019,8
15172,Chinavita,Tomate de árbol,2019,20
15176,Chiquinquirá,Fresa,2019,12
15176,Chiquinquirá,Mora,2019,8
15176,Chiquinquirá,Feijoa,2019,7
15176,Chiquinquirá,Curuba,2019,5
15176,Chiquinquirá,Lulo,2019,7
15176,Chiquinquirá,Tomate de árbol,2019,7
15180,Chiscas,Chirimoya,2019,18
15180,Chiscas,Durazno o Albaricoque,2019,6
15180,Chiscas,Naranja demás variedades,2019,6
15180,Chiscas,Mora,2019,7
15180,Chiscas,Tomate de árbol,2019,15
15183,Chita,Durazno o Albaricoque,2019,0
15183,Chita,Aguacate demás variedades,2019,0
15183,Chita,Brevo,2019,5
15183,Chita,Mora,2019,2
15183,Chita,Tomate de árbol,2019,10
15185,Chitaraque,Limón Mandarino,2019,20
15185,Chitaraque,Limón Tahiti,2019,0
15185,Chitaraque,Naranja demás variedades,2019,30
15185,Chitaraque,Naranja Valencia,2019,0
15185,Chitaraque,Plátano consumo interno,2019,6
15185,Chitaraque,Lulo,2019,20
15187,Chivatá,Fresa,2019,15
15189,Ciénega,Mora,2019,7
15189,Ciénega,Feijoa,2019,14
15189,Ciénega,Lulo,2019,15
15189,Ciénega,Tomate de árbol,2019,12
15189,Ciénega,Uchuva,2019,20
15204,Cómbita,Ciruela,2019,0
15204,Cómbita,Durazno o Albaricoque,2019,21
15204,Cómbita,Fresa,2019,0
15204,Cómbita,Mora,2019,6
15204,Cómbita,Feijoa,2019,0
15204,Cómbita,Curuba,2019,0
15212,Coper,Guanábana,2019,12
15212,Coper,Naranja demás variedades,2019,10
15212,Coper,Aguacate demás variedades,2019,7
15212,Coper,Mangostino,2019,10
15212,Coper,Pitahaya,2019,8
15212,Coper,Plátano consumo interno,2019,8
15215,Corrales,Durazno o Albaricoque,2019,13
15215,Corrales,Arándano,2019,16
15215,Corrales,Brevo,2019,6
15215,Corrales,Uva,2019,2
15218,Covarachía,Durazno o Albaricoque,2019,15
15218,Covarachía,Otros cítricos,2019,11
15218,Covarachía,Aguacate demás variedades,2019,12
15218,Covarachía,Piña demás variedades,2019,10
15218,Covarachía,Uva,2019,5
15218,Covarachía,Maracuyá,2019,11
15223,Cubará,Otros cítricos,2019,0
15223,Cubará,Plátano consumo interno,2019,12
15224,Cucaita,Durazno o Albaricoque,2019,12
15224,Cucaita,Fresa,2019,15
15226,Cuítiva,Fresa,2019,15
15226,Cuítiva,Gulupa o cholupa,2019,3
15226,Cuítiva,Uchuva,2019,3
15236,Chivor,Aguacate demás variedades,2019,8
15236,Chivor,Plátano consumo interno,2019,5
15236,Chivor,Granadilla,2019,6
15238,Duitama,Ciruela,2019,8
15238,Duitama,Durazno o Albaricoque,2019,10
15238,Duitama,Manzana,2019,10
15238,Duitama,Arándano,2019,0
15238,Duitama,Brevo,2019,4
15238,Duitama,Fresa,2019,0
15238,Duitama,Mora,2019,5
15238,Duitama,Feijoa,2019,5
15238,Duitama,Gulupa o cholupa,2019,20
15238,Duitama,Tomate de árbol,2019,22
15248,El Espino,Chirimoya,2019,1
15248,El Espino,Durazno o Albaricoque,2019,20
15248,El Espino,Naranja demás variedades,2019,2
15248,El Espino,Aguacate demás variedades,2019,2
15272,Firavitoba,Higo,2019,5
15272,Firavitoba,Feijoa,2019,0
15272,Firavitoba,Gulupa o cholupa,2019,8
15272,Firavitoba,Tomate de árbol,2019,0
15276,Floresta,Arándano,2019,0
15276,Floresta,Uva,2019,2
15276,Floresta,Uchuva,2019,3
15293,Gachantivá,Mora,2019,8
15293,Gachantivá,Tomate de árbol,2019,15
15299,Garagoa,Aguacate demás variedades,2019,0
15299,Garagoa,Arándano,2019,0
15299,Garagoa,Mora,2019,3
15299,Garagoa,Plátano consumo interno,2019,7
15299,Garagoa,Maracuyá,2019,0
15299,Garagoa,Lulo,2019,8
15299,Garagoa,Tomate de árbol,2019,9
15317,Guacamayas,Naranja demás variedades,2019,7
15322,Guateque,Frambuesa,2019,5
15322,Guateque,Gulupa o cholupa,2019,0
15322,Guateque,Maracuyá,2019,0
15325,Guayatá,Mora,2019,0
15325,Guayatá,Pitahaya,2019,3
15325,Guayatá,Plátano consumo interno,2019,4
15325,Guayatá,Gulupa o cholupa,2019,0
15325,Guayatá,Lulo,2019,8
15325,Guayatá,Tomate de árbol,2019,10
15325,Guayatá,Uchuva,2019,0
15362,Iza,Higo,2019,4
15362,Iza,Uchuva,2019,2
15367,Jenesano,Ciruela,2019,10
15367,Jenesano,Durazno o Albaricoque,2019,9
15367,Jenesano,Manzana,2019,10
15367,Jenesano,Pera,2019,35
15367,Jenesano,Aguacate demás variedades,2019,10
15367,Jenesano,Mora,2019,20
15367,Jenesano,Feijoa,2019,10
15367,Jenesano,Curuba,2019,10
15367,Jenesano,Granadilla,2019,15
15367,Jenesano,Gulupa o cholupa,2019,13
15367,Jenesano,Lulo,2019,12
15367,Jenesano,Tomate de árbol,2019,12
15367,Jenesano,Uchuva,2019,9
15368,Jericó,Brevo,2019,2
15377,Labranzagrande,Guanábana,2019,15
15377,Labranzagrande,Naranja demás variedades,2019,7
15377,Labranzagrande,Aguacate demás variedades,2019,3
15377,Labranzagrande,Banano consumo interno,2019,2
15377,Labranzagrande,Plátano consumo interno,2019,6
15377,Labranzagrande,Lulo,2019,6
15380,La Capilla,Mora,2019,25
15380,La Capilla,Tomate de árbol,2019,26
15401,La Victoria,Guanábana,2019,2
15401,La Victoria,Otros cítricos,2019,19
15401,La Victoria,Aguacate demás variedades,2019,9
15401,La Victoria,Plátano consumo interno,2019,8
15403,La Uvita,Ciruela,2019,1
15403,La Uvita,Durazno o Albaricoque,2019,9
15403,La Uvita,Otros cítricos,2019,12
15403,La Uvita,Mora,2019,6
15403,La Uvita,Tomate de árbol,2019,10
15407,Villa de Leiva,Otros caducifoleos,2019,15
15407,Villa de Leiva,Brevo,2019,21
15407,Villa de Leiva,Mora,2019,11
15425,Macanal,Mora,2019,9
15425,Macanal,Granadilla,2019,5
15425,Macanal,Lulo,2019,19
15442,Maripí,Guanábana,2019,2
15442,Maripí,Chontaduro,2019,0
15442,Maripí,Otros cítricos,2019,15
15442,Maripí,Aguacate demás variedades,2019,13
15442,Maripí,Arándano,2019,0
15442,Maripí,Papayuela -Babaco,2019,1
15442,Maripí,Plátano consumo interno,2019,8
15442,Maripí,Guayaba,2019,9
15442,Maripí,Gulupa o cholupa,2019,14
15442,Maripí,Maracuyá,2019,5
15455,Miraflores,Guanábana,2019,8
15455,Miraflores,Durazno o Albaricoque,2019,15
15455,Miraflores,Aguacate demás variedades,2019,10
15455,Miraflores,Mora,2019,7
15455,Miraflores,Pitahaya,2019,12
15455,Miraflores,Plátano consumo interno,2019,5
15455,Miraflores,Chamba,2019,20
15455,Miraflores,Granadilla,2019,10
15455,Miraflores,Gulupa o cholupa,2019,40
15455,Miraflores,Maracuyá,2019,4
15455,Miraflores,Lulo,2019,27
15466,Monguí,Otros caducifoleos,2019,20
15466,Monguí,Fresa,2019,0
15466,Monguí,Mora,2019,8
15466,Monguí,Tomate de árbol,2019,20
15466,Monguí,Uchuva,2019,10
15469,Moniquirá,Mandarina demás variedades,2019,23
15469,Moniquirá,Naranja demás variedades,2019,30
