Estación,µg/m³
Sogamoso – Recreo,13.1
Nobsa – Bomberos Nobsa,11.6
Nobsa – Nazaret,10.9
Sogamoso – Movil Koica Paipa,7.8
Tunja – Volcán Paipa,7.4
Paipa – Paipa Gensa,5.8
