geo,Municipio,Desagregación cultivo,Año,Área cosechada(ha)
15001,Tunja,Arveja,2019,80
15001,Tunja,Arveja,2019,400
15022,Almeida,Arveja,2019,3
15022,Almeida,Arveja,2019,8
15022,Almeida,Frijol,2019,60
15047,Aquitania,Arveja,2019,13
15047,Aquitania,Arveja,2019,12
15051,Arcabuco,Arveja,2019,8
15051,Arcabuco,Arveja,2019,6
15051,Arcabuco,Frijol,2019,4
15051,Arcabuco,Frijol,2019,4
15087,Belén,Arveja,2019,13
15087,Belén,Arveja,2019,15
15087,Belén,Frijol,2019,9
15087,Belén,Frijol,2019,3
15087,Belén,Haba,2019,4
15087,Belén,Haba,2019,5
15090,Berbeo,Frijol,2019,15
15090,Berbeo,Frijol,2019,10
15092,Betéitiva,Arveja,2019,12
15092,Betéitiva,Arveja,2019,5
15092,Betéitiva,Frijol,2019,3
15092,Betéitiva,Haba,2019,2
15097,Boavita,Arveja,2019,5
15097,Boavita,Arveja,2019,10
15097,Boavita,Frijol,2019,45
15097,Boavita,Frijol,2019,25
15104,Boyacá,Arveja,2019,22
15106,Briceño,Frijol,2019,10
15106,Briceño,Frijol,2019,20
15109,Buenavista,Arveja,2019,25
15109,Buenavista,Arveja,2019,12
15109,Buenavista,Frijol,2019,40
15109,Buenavista,Frijol,2019,50
15109,Buenavista,Habichuela,2019,10
15109,Buenavista,Habichuela,2019,5
15114,Busbanzá,Arveja,2019,2
15114,Busbanzá,Frijol,2019,35
15131,Caldas,Arveja,2019,35
15131,Caldas,Arveja,2019,40
15131,Caldas,Frijol,2019,42
15131,Caldas,Frijol,2019,40
15135,Campohermoso,Frijol,2019,15
15135,Campohermoso,Frijol,2019,64
15162,Cerinza,Arveja,2019,1
15162,Cerinza,Arveja,2019,1
15172,Chinavita,Arveja,2019,2
15172,Chinavita,Arveja,2019,6
15172,Chinavita,Frijol,2019,3
15172,Chinavita,Frijol,2019,17
15176,Chiquinquirá,Arveja,2019,80
15176,Chiquinquirá,Arveja,2019,100
15176,Chiquinquirá,Frijol,2019,60
15176,Chiquinquirá,Frijol,2019,60
15176,Chiquinquirá,Haba,2019,10
15180,Chiscas,Arveja,2019,5
15180,Chiscas,Arveja,2019,5
15180,Chiscas,Frijol,2019,32
15180,Chiscas,Frijol,2019,25
15180,Chiscas,Haba,2019,5
15180,Chiscas,Haba,2019,3
15183,Chita,Arveja,2019,10
15183,Chita,Arveja,2019,3
15183,Chita,Frijol,2019,4
15183,Chita,Haba,2019,4
15185,Chitaraque,Frijol,2019,58
15185,Chitaraque,Frijol,2019,55
15187,Chivatá,Arveja,2019,35
15187,Chivatá,Arveja,2019,25
15187,Chivatá,Haba,2019,3
15189,Ciénega,Arveja,2019,180
15189,Ciénega,Arveja,2019,180
15189,Ciénega,Frijol,2019,25
15189,Ciénega,Frijol,2019,33
15204,Cómbita,Arveja,2019,30
15204,Cómbita,Arveja,2019,27
15204,Cómbita,Frijol,2019,10
15204,Cómbita,Frijol,2019,7
15204,Cómbita,Haba,2019,10
15204,Cómbita,Haba,2019,8
15212,Coper,Frijol,2019,15
15212,Coper,Frijol,2019,38
15215,Corrales,Arveja,2019,4
15215,Corrales,Arveja,2019,1
15215,Corrales,Frijol,2019,1
15215,Corrales,Frijol,2019,0
15218,Covarachía,Arveja,2019,3
15218,Covarachía,Arveja,2019,3
15218,Covarachía,Frijol,2019,250
15218,Covarachía,Frijol,2019,300
15224,Cucaita,Arveja,2019,40
15224,Cucaita,Arveja,2019,55
15224,Cucaita,Frijol,2019,8
15224,Cucaita,Frijol,2019,8
15226,Cuítiva,Arveja,2019,20
15226,Cuítiva,Arveja,2019,22
15232,Chíquiza,Arveja,2019,75
15232,Chíquiza,Arveja,2019,75
15232,Chíquiza,Frijol,2019,12
15232,Chíquiza,Frijol,2019,9
15236,Chivor,Arveja,2019,3
15236,Chivor,Arveja,2019,2
15236,Chivor,Frijol,2019,6
15236,Chivor,Frijol,2019,6
15238,Duitama,Arveja,2019,2
15238,Duitama,Arveja,2019,2
15244,El Cocuy,Frijol,2019,5
15244,El Cocuy,Haba,2019,5
15248,El Espino,Arveja,2019,5
15248,El Espino,Arveja,2019,2
15248,El Espino,Frijol,2019,10
15248,El Espino,Frijol,2019,4
15248,El Espino,Haba,2019,2
15272,Firavitoba,Arveja,2019,20
15272,Firavitoba,Arveja,2019,15
15272,Firavitoba,Frijol,2019,5
15272,Firavitoba,Frijol,2019,8
15272,Firavitoba,Haba,2019,1
15276,Floresta,Arveja,2019,8
15276,Floresta,Frijol,2019,70
15293,Gachantivá,Arveja,2019,17
15293,Gachantivá,Arveja,2019,25
15296,Gámeza,Arveja,2019,6
15296,Gámeza,Arveja,2019,12
15296,Gámeza,Frijol,2019,18
15296,Gámeza,Haba,2019,10
15299,Garagoa,Arveja,2019,7
15299,Garagoa,Arveja,2019,5
15299,Garagoa,Frijol,2019,34
15299,Garagoa,Frijol,2019,95
15299,Garagoa,Habichuela,2019,8
15299,Garagoa,Habichuela,2019,7
15317,Guacamayas,Arveja,2019,8
15317,Guacamayas,Frijol,2019,50
15322,Guateque,Arveja,2019,9
15322,Guateque,Arveja,2019,11
15322,Guateque,Frijol,2019,3
15322,Guateque,Frijol,2019,26
15322,Guateque,Garbanzo,2019,1
15322,Guateque,Habichuela,2019,4
15325,Guayatá,Frijol,2019,55
15325,Guayatá,Habichuela,2019,5
15325,Guayatá,Habichuela,2019,7
15332,Güicán,Arveja,2019,6
15332,Güicán,Arveja,2019,6
15332,Güicán,Frijol,2019,23
15332,Güicán,Haba,2019,6
15362,Iza,Arveja,2019,4
15367,Jenesano,Arveja,2019,20
15367,Jenesano,Arveja,2019,30
15367,Jenesano,Frijol,2019,40
15367,Jenesano,Frijol,2019,20
15368,Jericó,Arveja,2019,7
15368,Jericó,Arveja,2019,7
15368,Jericó,Frijol,2019,7
15368,Jericó,Frijol,2019,7
15368,Jericó,Haba,2019,9
15377,Labranzagrande,Arveja,2019,13
15377,Labranzagrande,Frijol,2019,19
15380,La Capilla,Arveja,2019,55
15380,La Capilla,Arveja,2019,36
15380,La Capilla,Frijol,2019,17
15380,La Capilla,Frijol,2019,320
15380,La Capilla,Habichuela,2019,20
15380,La Capilla,Habichuela,2019,10
15401,La Victoria,Frijol,2019,3
15401,La Victoria,Frijol,2019,1
15403,La Uvita,Arveja,2019,11
15403,La Uvita,Arveja,2019,4
15403,La Uvita,Frijol,2019,25
15403,La Uvita,Frijol,2019,7
15403,La Uvita,Haba,2019,8
15403,La Uvita,Haba,2019,3
15407,Villa de Leiva,Frijol,2019,9
15407,Villa de Leiva,Frijol,2019,12
15425,Macanal,Arveja,2019,11
15425,Macanal,Arveja,2019,2
15425,Macanal,Frijol,2019,10
15425,Macanal,Frijol,2019,350
15442,Maripí,Arveja,2019,6
15442,Maripí,Frijol,2019,9
15455,Miraflores,Arveja,2019,9
15455,Miraflores,Arveja,2019,9
15455,Miraflores,Frijol,2019,39
15455,Miraflores,Frijol,2019,34
15464,Mongua,Arveja,2019,10
15464,Mongua,Arveja,2019,17
15464,Mongua,Haba,2019,42
15466,Monguí,Arveja,2019,10
15466,Monguí,Arveja,2019,9
15466,Monguí,Frijol,2019,1
15466,Monguí,Haba,2019,5
15469,Moniquirá,Frijol,2019,82
15469,Moniquirá,Frijol,2019,40
15476,Motavita,Arveja,2019,20
15476,Motavita,Arveja,2019,20
15476,Motavita,Haba,2019,5
15480,Muzo,Frijol,2019,34
15480,Muzo,Frijol,2019,33
15480,Muzo,Maní,2019,1
15480,Muzo,Maní,2019,1
15491,Nobsa,Frijol,2019,10
15491,Nobsa,Frijol,2019,18
15491,Nobsa,Haba,2019,2
15491,Nobsa,Haba,2019,2
15494,Nuevo Colón,Arveja,2019,20
15494,Nuevo Colón,Frijol,2019,50
15494,Nuevo Colón,Haba,2019,6
15494,Nuevo Colón,Haba,2019,4
