Provincia,Valor
Ricaurte,23
Oriente,21
Occidente,20
Tundama,19
Centro,18
Sugamuxi,17
Márquez,15
Norte,15
Neira,14
Valderrama,11
Lengupá,8
Gutiérrez,7
La Libertad,7
Manejo Especial,1
