Año,2020,2021,2022
Infraestructura de servicios,13.000000,12.000000,14.000000
Infraestructura vial,10.000000,9.000000,9.000000
Conectividad,12.000000,6.000000,3.000000
Total infraestructura,13.000000,9.000000,6.000000
