Año,2020,2021,2022
Infraestructura de servicios,7.507061,7.471686,7.247027
Infraestructura vial,3.394754,4.476729,4.582735
Conectividad,4.189861,4.662781,6.089436
Total infraestructura,5.030559,5.537065,5.973066
