geo,Municipio,Desagregación cultivo,Año,Producción(tn)
15001,Tunja,Arveja,2019,96
15001,Tunja,Arveja,2019,560
15022,Almeida,Arveja,2019,6
15022,Almeida,Arveja,2019,17
15022,Almeida,Frijol,2019,114
15047,Aquitania,Arveja,2019,27
15047,Aquitania,Arveja,2019,25
15051,Arcabuco,Arveja,2019,7
15051,Arcabuco,Arveja,2019,5
15051,Arcabuco,Frijol,2019,4
15051,Arcabuco,Frijol,2019,4
15087,Belén,Arveja,2019,15
15087,Belén,Arveja,2019,25
15087,Belén,Frijol,2019,9
15087,Belén,Frijol,2019,4
15087,Belén,Haba,2019,4
15087,Belén,Haba,2019,6
15090,Berbeo,Frijol,2019,18
15090,Berbeo,Frijol,2019,6
15092,Betéitiva,Arveja,2019,9
15092,Betéitiva,Arveja,2019,4
15092,Betéitiva,Frijol,2019,1
15092,Betéitiva,Haba,2019,0
15097,Boavita,Arveja,2019,5
15097,Boavita,Arveja,2019,10
15097,Boavita,Frijol,2019,180
15097,Boavita,Frijol,2019,69
15104,Boyacá,Arveja,2019,37
15106,Briceño,Frijol,2019,8
15106,Briceño,Frijol,2019,16
15109,Buenavista,Arveja,2019,58
15109,Buenavista,Arveja,2019,28
15109,Buenavista,Frijol,2019,40
15109,Buenavista,Frijol,2019,60
15109,Buenavista,Habichuela,2019,80
15109,Buenavista,Habichuela,2019,45
15114,Busbanzá,Arveja,2019,1
15114,Busbanzá,Frijol,2019,24
15131,Caldas,Arveja,2019,44
15131,Caldas,Arveja,2019,51
15131,Caldas,Frijol,2019,34
15131,Caldas,Frijol,2019,32
15135,Campohermoso,Frijol,2019,12
15135,Campohermoso,Frijol,2019,83
15162,Cerinza,Arveja,2019,0
15162,Cerinza,Arveja,2019,1
15172,Chinavita,Arveja,2019,3
15172,Chinavita,Arveja,2019,11
15172,Chinavita,Frijol,2019,4
15172,Chinavita,Frijol,2019,34
15176,Chiquinquirá,Arveja,2019,48
15176,Chiquinquirá,Arveja,2019,70
15176,Chiquinquirá,Frijol,2019,41
15176,Chiquinquirá,Frijol,2019,41
15176,Chiquinquirá,Haba,2019,3
15180,Chiscas,Arveja,2019,7
15180,Chiscas,Arveja,2019,6
15180,Chiscas,Frijol,2019,26
15180,Chiscas,Frijol,2019,22
15180,Chiscas,Haba,2019,6
15180,Chiscas,Haba,2019,4
15183,Chita,Arveja,2019,10
15183,Chita,Arveja,2019,2
15183,Chita,Frijol,2019,8
15183,Chita,Haba,2019,12
15185,Chitaraque,Frijol,2019,98
15185,Chitaraque,Frijol,2019,66
15187,Chivatá,Arveja,2019,24
15187,Chivatá,Arveja,2019,12
15187,Chivatá,Haba,2019,2
15189,Ciénega,Arveja,2019,281
15189,Ciénega,Arveja,2019,162
15189,Ciénega,Frijol,2019,31
15189,Ciénega,Frijol,2019,27
15204,Cómbita,Arveja,2019,42
15204,Cómbita,Arveja,2019,40
15204,Cómbita,Frijol,2019,12
15204,Cómbita,Frijol,2019,7
15204,Cómbita,Haba,2019,18
15204,Cómbita,Haba,2019,14
15212,Coper,Frijol,2019,22
15212,Coper,Frijol,2019,57
15215,Corrales,Arveja,2019,8
15215,Corrales,Arveja,2019,3
15215,Corrales,Frijol,2019,0
15215,Corrales,Frijol,2019,0
15218,Covarachía,Arveja,2019,11
15218,Covarachía,Arveja,2019,11
15218,Covarachía,Frijol,2019,187
15218,Covarachía,Frijol,2019,282
15224,Cucaita,Arveja,2019,112
15224,Cucaita,Arveja,2019,88
15224,Cucaita,Frijol,2019,10
15224,Cucaita,Frijol,2019,8
15226,Cuítiva,Arveja,2019,84
15226,Cuítiva,Arveja,2019,92
15232,Chíquiza,Arveja,2019,70
15232,Chíquiza,Arveja,2019,70
15232,Chíquiza,Frijol,2019,11
15232,Chíquiza,Frijol,2019,8
15236,Chivor,Arveja,2019,4
15236,Chivor,Arveja,2019,2
15236,Chivor,Frijol,2019,5
15236,Chivor,Frijol,2019,5
15238,Duitama,Arveja,2019,5
15238,Duitama,Arveja,2019,5
15244,El Cocuy,Frijol,2019,4
15244,El Cocuy,Haba,2019,4
15248,El Espino,Arveja,2019,10
15248,El Espino,Arveja,2019,4
15248,El Espino,Frijol,2019,12
15248,El Espino,Frijol,2019,7
15248,El Espino,Haba,2019,3
15272,Firavitoba,Arveja,2019,15
15272,Firavitoba,Arveja,2019,12
15272,Firavitoba,Frijol,2019,4
15272,Firavitoba,Frijol,2019,7
15272,Firavitoba,Haba,2019,1
15276,Floresta,Arveja,2019,9
15276,Floresta,Frijol,2019,175
15293,Gachantivá,Arveja,2019,10
15293,Gachantivá,Arveja,2019,25
15296,Gámeza,Arveja,2019,10
15296,Gámeza,Arveja,2019,19
15296,Gámeza,Frijol,2019,23
15296,Gámeza,Haba,2019,25
15299,Garagoa,Arveja,2019,5
15299,Garagoa,Arveja,2019,4
15299,Garagoa,Frijol,2019,68
15299,Garagoa,Frijol,2019,114
15299,Garagoa,Habichuela,2019,34
15299,Garagoa,Habichuela,2019,28
15317,Guacamayas,Arveja,2019,4
15317,Guacamayas,Frijol,2019,70
15322,Guateque,Arveja,2019,19
15322,Guateque,Arveja,2019,23
15322,Guateque,Frijol,2019,5
15322,Guateque,Frijol,2019,33
15322,Guateque,Garbanzo,2019,3
15322,Guateque,Habichuela,2019,32
15325,Guayatá,Frijol,2019,110
15325,Guayatá,Habichuela,2019,45
15325,Guayatá,Habichuela,2019,75
15332,Güicán,Arveja,2019,8
15332,Güicán,Arveja,2019,8
15332,Güicán,Frijol,2019,17
15332,Güicán,Haba,2019,12
15362,Iza,Arveja,2019,3
15367,Jenesano,Arveja,2019,30
15367,Jenesano,Arveja,2019,45
15367,Jenesano,Frijol,2019,40
15367,Jenesano,Frijol,2019,20
15368,Jericó,Arveja,2019,9
15368,Jericó,Arveja,2019,9
15368,Jericó,Frijol,2019,7
15368,Jericó,Frijol,2019,7
15368,Jericó,Haba,2019,14
15377,Labranzagrande,Arveja,2019,32
15377,Labranzagrande,Frijol,2019,22
15380,La Capilla,Arveja,2019,44
15380,La Capilla,Arveja,2019,28
15380,La Capilla,Frijol,2019,34
15380,La Capilla,Frijol,2019,640
15380,La Capilla,Habichuela,2019,240
15380,La Capilla,Habichuela,2019,120
15401,La Victoria,Frijol,2019,2
15401,La Victoria,Frijol,2019,1
15403,La Uvita,Arveja,2019,20
15403,La Uvita,Arveja,2019,7
15403,La Uvita,Frijol,2019,23
15403,La Uvita,Frijol,2019,7
15403,La Uvita,Haba,2019,14
15403,La Uvita,Haba,2019,3
15407,Villa de Leiva,Frijol,2019,10
15407,Villa de Leiva,Frijol,2019,15
15425,Macanal,Arveja,2019,20
15425,Macanal,Arveja,2019,3
15425,Macanal,Frijol,2019,18
15425,Macanal,Frijol,2019,658
15442,Maripí,Arveja,2019,8
15442,Maripí,Frijol,2019,11
15455,Miraflores,Arveja,2019,14
15455,Miraflores,Arveja,2019,14
15455,Miraflores,Frijol,2019,78
15455,Miraflores,Frijol,2019,68
15464,Mongua,Arveja,2019,17
15464,Mongua,Arveja,2019,24
15464,Mongua,Haba,2019,63
15466,Monguí,Arveja,2019,18
15466,Monguí,Arveja,2019,6
15466,Monguí,Frijol,2019,0
