Departamento,Boyacá,Cundinamarca,Meta,Norte de Santander,Santander,Total Nacional
2015,237881,229165,272331,246102,298824,277173
2016,257947,247841,292594,267804,322890,299864
2017,264689,254099,297087,272050,333457,308889
2018,271226,260034,303320,278840,342774,316815
2019,280440,267549,312287,289918,354135,327674
2020,281771,269745,312942,295601,357061,331688
2021,303904,290631,336625,318651,382848,354031
