Año,Cobertura alta (80%-100%),"Cobertura baja (0% - 49,9%)","Cobertura media (50% - 79,9%)",No reporta valor
2020,94,5,17,7
2021,104,3,14,2
2022,107,3,13,0
2023,97,6,12,8
2024,99,2,15,7
2025,101,2,14,6
