geo,Municipio,año,casos
15820,Topaga,2019,2
15822,Tota,2019,4
15087,Belen,2019,4
15114,Busbanza,2019,0
15162,Cerinza,2019,0
15215,Corrales,2019,1
15238,Duitama,2019,68
15276,Floresta,2019,3
15516,Paipa,2019,19
15693,Santa Rosa de Viterbo,2019,9
15839,Tutaza,2019,1
15092,Beteitiva,2019,0
15183,Chita,2019,9
15368,Jerico,2019,3
15537,Paz de Rio,2019,5
15757,Socha,2019,5
15755,Socota,2019,8
15790,Tasco,2019,1
15232,Chiquiza,2020,0
15187,Chivata,2020,2
15204,Combita,2020,6
15224,Cucaita,2020,2
15476,Motavita,2020,4
15500,Oicata,2020,0
15646,Samaca,2020,13
15740,Siachoque,2020,4
15762,Sora,2020,0
15764,Soraca,2020,6
15763,Sotaquira,2020,7
15814,Toca,2020,11
15001,Tunja,2020,111
15837,Tuta,2020,5
15861,Ventaquemada,2020,11
15223,Cubara,2020,1
15180,Chiscas,2020,2
15244,El Cocuy,2020,2
15248,El Espino,2020,1
15317,Guacamayas,2020,1
15332,Guican,2020,0
15522,Panqueba,2020,2
15377,Labranzagrande,2020,0
15518,Pajarito,2020,1
15533,Paya,2020,3
15550,Pisba,2020,0
15090,Berbeo,2020,0
15135,Campohermoso,2020,1
15455,Miraflores,2020,1
15514,Paez,2020,0
15660,San Eduardo,2020,0
15897,Zetaquira,2020,0
15104,Boyacá,2020,5
15189,Cienega,2020,0
15367,Jenesano,2020,1
15494,Nuevo Colon,2020,2
15599,Ramiriqui,2020,1
15621,Rondon,2020,1
15804,Tibana,2020,5
15835,Turmeque,2020,1
15842,Umbita,2020,4
15879,Viracacha,2020,0
15172,Chinavita,2020,0
15299,Garagoa,2020,5
15425,Macanal,2020,0
15511,Pachavita,2020,0
15667,San Luis de Gaceno,2020,0
15690,Santa Maria,2020,1
15097,Boavita,2020,3
15218,Covarachia,2020,0
15403,La Uvita,2020,0
15673,San Mateo,2020,0
15720,Sativanorte,2020,0
15723,Sativasur,2020,0
15753,Soata,2020,11
15774,Susacon,2020,1
15810,Tipacoque,2020,1
15106,Briceño,2020,2
15109,Buenavista,2020,1
15131,Caldas,2020,0
15176,Chiquinquira,2020,26
15212,Coper,2020,0
15401,La Victoria,2020,1
15442,Maripi,2020,1
15480,Muzo,2020,0
15507,Otanche,2020,3
15531,Pauna,2020,2
15580,Quipama,2020,1
15632,Saboya,2020,4
15676,San Miguel de Sema,2020,2
15681,San Pablo de Borbur,2020,1
15832,Tunungua,2020,0
15572,Puerto Boyaca,2020,14
15022,Almeida,2020,0
15236,Chivor,2020,2
15322,Guateque,2020,5
15325,Guayata,2020,0
15380,La Capilla,2020,0
15761,Somondoco,2020,0
15778,Sutatenza,2020,1
15798,Tenza,2020,1
15051,Arcabuco,2020,3
15185,Chitaraque,2020,2
15293,Gachantiva,2020,0
15469,Moniquira,2020,11
15600,Raquira,2020,4
15638,Sachica,2020,4
15664,San Jose de Pare,2020,0
15696,Santa Sofia,2020,2
15686,Santana,2020,6
15776,Sutamarchan,2020,1
15808,Tinjaca,2020,1
15816,Togui,2020,1
15407,Villa de Leyva,2020,7
15047,Aquitania,2020,12
15226,Cuitiva,2020,2
15272,Firavitoba,2020,1
15296,Gameza,2020,4
15362,Iza,2020,1
15464,Mongua,2020,0
15466,Mongui,2020,1
15491,Nobsa,2020,4
15542,Pesca,2020,0
15759,Sogamoso,2020,49
15806,Tibasosa,2020,9
15820,Topaga,2020,2
15822,Tota,2020,4
15087,Belen,2020,3
15114,Busbanza,2020,0
15162,Cerinza,2020,2
15215,Corrales,2020,1
15238,Duitama,2020,63
15276,Floresta,2020,0
15516,Paipa,2020,19
15693,Santa Rosa de Viterbo,2020,5
15839,Tutaza,2020,0
15092,Beteitiva,2020,0
15183,Chita,2020,6
15368,Jerico,2020,3
15537,Paz de Rio,2020,1
15757,Socha,2020,10
15755,Socota,2020,7
15790,Tasco,2020,4
