AÑO,2012,2013,2014,2015,2016
NACIONAL,19.750000,19.250000,19.200000,18.730000,18.180000
BOYACÁ,19.760000,18.920000,18.770000,18.410000,13.500000
CUNDINAMARCA,16.620000,16.420000,16.240000,16.170000,39.860000
META,33.760000,33.100000,33.460000,32.530000,14.900000
NORTE DE SANTANDER,15.410000,15.050000,15.030000,14.750000,13.360000
SANTANDER,15.780000,15.910000,15.920000,15.560000,30.960000
