Año,Fallecidos,Heridos,Personas afectadas,Familias afectadas
2020,20,23,4238,1039
2021,33,10,4537,1188
2022,36,14,3385,2318
2023,23,62,9080,1947
2024,22,61,29992,1284
2025,16,26,12783,1913
