Año,Menores de un año,(01 a 05),(06 a 11),(12 a 17),Total año
2015,2,61,150,241,454
2016,1,60,160,218,439
2017,0,72,156,275,503
2018,0,69,213,260,542
2019,2,59,215,290,566
2020,2,35,117,201,355
2021,0,52,150,270,472
