Año,geo,Rango de edad,Sexo,Casos
2015,15001,(01 a 05),Hombre,6
2015,15001,(06 a 11),Hombre,5
2015,15001,(12 a 17),Hombre,4
2015,15022,(12 a 17),Hombre,0
2015,15051,(06 a 11),Hombre,0
2015,15051,(12 a 17),Hombre,0
2015,15087,(01 a 05),Hombre,0
2015,15087,(06 a 11),Hombre,1
2015,15087,(12 a 17),Hombre,0
2015,15097,(01 a 05),Hombre,0
2015,15097,(06 a 11),Hombre,0
2015,15097,(12 a 17),Hombre,0
2015,15109,(12 a 17),Hombre,0
2015,15162,(06 a 11),Hombre,0
2015,15162,(12 a 17),Hombre,0
2015,15172,(06 a 11),Hombre,1
2015,15172,(12 a 17),Hombre,2
2015,15176,(01 a 05),Hombre,3
2015,15176,(06 a 11),Hombre,2
2015,15176,(12 a 17),Hombre,1
2015,15176,Menores de un año,Hombre,0
2015,15183,(12 a 17),Hombre,0
2015,15185,(12 a 17),Hombre,0
2015,15204,(06 a 11),Hombre,0
2015,15204,(12 a 17),Hombre,0
2015,15215,(01 a 05),Hombre,0
2015,15215,(06 a 11),Hombre,1
2015,15215,(12 a 17),Hombre,0
2015,15223,(12 a 17),Hombre,0
2015,15224,(06 a 11),Hombre,0
2015,15224,(12 a 17),Hombre,0
2015,15232,(12 a 17),Hombre,0
2015,15238,(01 a 05),Hombre,3
2015,15238,(06 a 11),Hombre,7
2015,15238,(12 a 17),Hombre,3
2015,15238,Menores de un año,Hombre,0
2015,15272,(06 a 11),Hombre,0
2015,15272,(12 a 17),Hombre,0
2015,15276,(12 a 17),Hombre,1
2015,15293,(01 a 05),Hombre,0
2015,15293,(06 a 11),Hombre,2
2015,15293,(12 a 17),Hombre,1
2015,15296,(12 a 17),Hombre,0
2015,15299,(01 a 05),Hombre,0
2015,15299,(06 a 11),Hombre,2
2015,15299,(12 a 17),Hombre,1
2015,15322,(06 a 11),Hombre,0
2015,15322,(12 a 17),Hombre,0
2015,15325,(12 a 17),Hombre,0
2015,15362,(06 a 11),Hombre,0
2015,15367,(12 a 17),Hombre,0
2015,15407,(06 a 11),Hombre,1
2015,15407,(12 a 17),Hombre,0
2015,15425,(06 a 11),Hombre,0
2015,15425,(12 a 17),Hombre,0
2015,15464,(12 a 17),Hombre,0
2015,15469,(01 a 05),Hombre,1
2015,15469,(06 a 11),Hombre,1
2015,15469,(12 a 17),Hombre,0
2015,15476,(12 a 17),Hombre,0
2015,15480,(06 a 11),Hombre,0
2015,15480,(12 a 17),Hombre,0
2015,15491,(01 a 05),Hombre,0
2015,15491,(06 a 11),Hombre,0
2015,15494,(06 a 11),Hombre,1
2015,15494,(12 a 17),Hombre,1
2015,15500,(01 a 05),Hombre,0
2015,15500,(12 a 17),Hombre,0
2015,15507,(06 a 11),Hombre,1
2015,15516,(01 a 05),Hombre,1
2015,15516,(06 a 11),Hombre,1
2015,15516,(12 a 17),Hombre,0
2015,15537,(12 a 17),Hombre,0
2015,15550,(01 a 05),Hombre,0
2015,15550,(12 a 17),Hombre,1
2015,15572,(01 a 05),Hombre,1
2015,15572,(06 a 11),Hombre,5
2015,15572,(12 a 17),Hombre,2
2015,15580,(06 a 11),Hombre,0
2015,15599,(01 a 05),Hombre,0
2015,15599,(12 a 17),Hombre,1
2015,15600,(12 a 17),Hombre,0
