geo,Municipio,Cultivo,Año,Producción(tn)
15511,Pachavita,Arracacha,2019,40
15511,Pachavita,Papa todas las variedades,2019,78
15511,Pachavita,Papa todas las variedades,2019,54
15511,Pachavita,Yuca consumo en fresco,2019,45
15511,Pachavita,Yuca consumo en fresco,2019,45
15514,Páez,Yuca consumo en fresco,2019,350
15516,Paipa,Papa todas las variedades,2019,1225
15518,Pajarito,Arracacha,2019,56
15518,Pajarito,Yuca consumo en fresco,2019,220
15522,Panqueba,Papa todas las variedades,2019,357
15522,Panqueba,Papa todas las variedades,2019,462
15531,Pauna,Papa Criolla,2019,100
15531,Pauna,Papa Criolla,2019,100
15531,Pauna,Papa todas las variedades,2019,250
15531,Pauna,Papa todas las variedades,2019,375
15531,Pauna,Yuca consumo en fresco,2019,240
15531,Pauna,Yuca consumo en fresco,2019,1000
15533,Paya,Arracacha,2019,1
15533,Paya,Malanga¬ Achín¬ Yota¬ Papa China¬ Bore,2019,2
15533,Paya,Yuca consumo en fresco,2019,75
15533,Paya,Yuca consumo en fresco,2019,12
15537,Paz de Río,Papa todas las variedades,2019,276
15537,Paz de Río,Papa todas las variedades,2019,110
15542,Pesca,Papa todas las variedades,2019,5650
15542,Pesca,Papa todas las variedades,2019,21942
15550,Pisba,Yuca consumo en fresco,2019,60
15550,Pisba,Yuca consumo en fresco,2019,40
15572,Puerto Boyacá,Yuca consumo en fresco,2019,68
15580,Quípama,Yuca consumo en fresco,2019,1920
15580,Quípama,Yuca consumo en fresco,2019,640
15599,Ramiriquí,Arracacha,2019,1140
15599,Ramiriquí,Papa Criolla,2019,96
15599,Ramiriquí,Papa Criolla,2019,165
15599,Ramiriquí,Papa todas las variedades,2019,3780
15599,Ramiriquí,Papa todas las variedades,2019,3400
15600,Ráquira,Papa todas las variedades,2019,3525
15600,Ráquira,Papa todas las variedades,2019,3514
15621,Rondón,Arracacha,2019,6
15621,Rondón,Papa Criolla,2019,12
15621,Rondón,Papa todas las variedades,2019,150
15621,Rondón,Papa todas las variedades,2019,75
15621,Rondón,Yuca consumo en fresco,2019,48
15621,Rondón,Yuca consumo en fresco,2019,20
15632,Saboyá,Papa Criolla,2019,12600
15632,Saboyá,Papa Criolla,2019,13140
15632,Saboyá,Papa todas las variedades,2019,47000
15632,Saboyá,Papa todas las variedades,2019,49000
15646,Samacá,Papa todas las variedades,2019,26600
15646,Samacá,Papa todas las variedades,2019,30450
15660,San Eduardo,Arracacha,2019,25
15660,San Eduardo,Arracacha,2019,15
15660,San Eduardo,Malanga¬ Achín¬ Yota¬ Papa China¬ Bore,2019,40
15660,San Eduardo,Malanga¬ Achín¬ Yota¬ Papa China¬ Bore,2019,24
15660,San Eduardo,Yuca consumo en fresco,2019,180
15660,San Eduardo,Yuca consumo en fresco,2019,24
15664,San José de Pare,Papa todas las variedades,2019,20
15664,San José de Pare,Yuca consumo en fresco,2019,80
15664,San José de Pare,Yuca consumo en fresco,2019,100
15667,San Luis de Gaceno,Yuca consumo en fresco,2019,1215
15667,San Luis de Gaceno,Yuca consumo en fresco,2019,250
15673,San Mateo,Yuca consumo en fresco,2019,25
15676,San Miguel de Sema,Papa Criolla,2019,125
15676,San Miguel de Sema,Papa todas las variedades,2019,250
15676,San Miguel de Sema,Papa todas las variedades,2019,850
15681,San Pablo de Borbur,Yuca consumo en fresco,2019,440
15681,San Pablo de Borbur,Yuca Industrial,2019,12
15686,Santana,Yuca consumo en fresco,2019,900
15686,Santana,Yuca consumo en fresco,2019,900
15690,Santa María,Arracacha,2019,3
15690,Santa María,Malanga¬ Achín¬ Yota¬ Papa China¬ Bore,2019,6
15690,Santa María,Yuca consumo en fresco,2019,364
15690,Santa María,Yuca consumo en fresco,2019,46
15693,Santa Rosa de Viterbo,Nabo,2019,4
15693,Santa Rosa de Viterbo,Nabo,2019,3
15693,Santa Rosa de Viterbo,Papa Criolla,2019,420
15693,Santa Rosa de Viterbo,Papa Criolla,2019,294
15693,Santa Rosa de Viterbo,Papa todas las variedades,2019,405
15693,Santa Rosa de Viterbo,Papa todas las variedades,2019,390
15696,Santa Sofía,Papa todas las variedades,2019,675
15696,Santa Sofía,Yuca consumo en fresco,2019,78
15720,Sativanorte,Papa todas las variedades,2019,1494
15720,Sativanorte,Yuca consumo en fresco,2019,24
15720,Sativanorte,Yuca consumo en fresco,2019,24
15723,Sativasur,Papa todas las variedades,2019,110
15723,Sativasur,Papa todas las variedades,2019,40
15740,Siachoque,Arracacha,2019,60
15740,Siachoque,Arracacha,2019,60
15740,Siachoque,Papa Criolla,2019,600
15740,Siachoque,Papa Criolla,2019,600
15740,Siachoque,Papa todas las variedades,2019,63000
15740,Siachoque,Papa todas las variedades,2019,63000
15753,Soatá,Papa todas las variedades,2019,100
15753,Soatá,Yuca consumo en fresco,2019,140
15755,Socotá,Papa Criolla,2019,97
15755,Socotá,Papa Criolla,2019,84
15755,Socotá,Papa todas las variedades,2019,5400
15755,Socotá,Papa todas las variedades,2019,5200
15757,Socha,Papa todas las variedades,2019,425
15757,Socha,Papa todas las variedades,2019,450
15759,Sogamoso,Papa Criolla,2019,70
15759,Sogamoso,Papa Criolla,2019,60
15759,Sogamoso,Papa todas las variedades,2019,4800
15759,Sogamoso,Papa todas las variedades,2019,4320
15761,Somondoco,Arracacha,2019,136
15761,Somondoco,Papa todas las variedades,2019,120
15761,Somondoco,Papa todas las variedades,2019,96
15761,Somondoco,Yuca consumo en fresco,2019,108
15762,Sora,Papa todas las variedades,2019,1920
15762,Sora,Papa todas las variedades,2019,720
15763,Sotaquirá,Papa todas las variedades,2019,18800
15764,Soracá,Arracacha,2019,375
15764,Soracá,Arracacha,2019,375
15764,Soracá,Papa Criolla,2019,9000
15764,Soracá,Papa Criolla,2019,10500
15764,Soracá,Papa todas las variedades,2019,24600
15764,Soracá,Papa todas las variedades,2019,18300
15774,Susacón,Arracacha,2019,2
15774,Susacón,Papa todas las variedades,2019,2415
15774,Susacón,Papa todas las variedades,2019,975
15774,Susacón,Yuca consumo en fresco,2019,6
15776,Sutamarchán,Papa todas las variedades,2019,275
15776,Sutamarchán,Papa todas las variedades,2019,306
15778,Sutatenza,Arracacha,2019,3
