Departamento,Población,2018,2019,2020,2021
Boyacá,CA,0.005000,0.007000,0.003000,0.001000
Boyacá,CPRD,0.115000,0.109000,0.089000,0.112000
Cundinamarca,CA,0.006000,0.020000,0.008000,0.004000
Cundinamarca,CPRD,0.054000,0.075000,0.095000,0.050000
Meta,CA,0.009000,0.018000,0.020000,0.030000
Meta,CPRD,0.158000,0.152000,0.147000,0.223000
Norte de Santander,CA,0.027000,0.021000,0.037000,0.020000
Norte de Santander,CPRD,0.159000,0.141000,0.167000,0.124000
Santander,CA,0.012000,0.008000,0.012000,0.011000
Santander,CPRD,0.100000,0.122000,0.116000,0.127000
