Año,Boyacá,Nacional
2013,0.000570,0.002584
2014,0.001001,0.003043
2015,0.001008,0.003652
2016,0.000766,0.002708
2017,0.001000,0.002611
2018,0.001411,0.002600
2019,0.001700,0.003100
2020,0.001500,0.002400
