Departamento,Boyacá,Cundinamarca,Meta,Norte de Santander,Santander,Total Nacional
2015,0.540000,0.440000,0.470000,0.470000,0.470000,0.520000
2016,0.530000,0.440000,0.460000,0.470000,0.450000,0.520000
2017,0.510000,0.430000,0.470000,0.470000,0.450000,0.510000
2018,0.480000,0.420000,0.490000,0.470000,0.490000,0.520000
2019,0.500000,0.440000,0.490000,0.490000,0.480000,0.530000
2020,0.520000,0.490000,0.490000,0.520000,0.510000,0.540000
2021,0.490000,0.460000,0.460000,0.470000,0.520000,0.520000
