TIME,BOYACÁ,CUNDINAMARCA,META,NORTE DE SANTANDER,SANTANDER
2015,0.263300,0.264800,0.301900,0.207800,0.282000
2016,0.291000,0.294700,0.299800,0.159500,0.253500
2017,0.204000,0.306200,0.264000,0.209000,0.233000
2018,0.234000,0.267400,0.235000,0.130000,0.244000
2019,0.153000,0.233300,0.203000,0.061000,0.270000
