geo,Municipio,Año,Puntaje
15401,LA VICTORIA,2017,44.581104
15403,LA UVITA,2017,56.350629
15407,VILLA DE LEYVA,2017,64.752266
15425,MACANAL,2017,54.003247
15442,MARIPI,2017,45.779658
15455,MIRAFLORES,2017,57.418959
15464,MONGUA,2017,47.668693
15466,MONGUI,2017,46.684620
15469,MONIQUIRA,2017,57.332712
15476,MOTAVITA,2017,44.055239
15480,MUZO,2017,52.709049
15491,NOBSA,2017,63.574109
15494,NUEVO COLON,2017,47.737619
15500,OICATA,2017,60.535833
15507,OTANCHE,2017,50.639100
15511,PACHAVITA,2017,36.571259
15514,PAEZ,2017,52.199075
15516,PAIPA,2017,64.540232
15518,PAJARITO,2017,46.245002
15522,PANQUEBA,2017,44.819056
15531,PAUNA,2017,46.854041
15533,PAYA,2017,50.417990
15537,PAZ DE RIO,2017,41.607122
15542,PESCA,2017,50.741191
15550,PISVA,2017,37.293049
15572,PUERTO BOYACA,2017,56.243719
15580,QUIPAMA,2017,36.906504
15599,RAMIRIQUI,2017,47.427528
15600,RAQUIRA,2017,51.050375
15621,RONDON,2017,31.860045
15632,SABOYA,2017,52.197449
15638,SACHICA,2017,55.792287
15646,SAMACA,2017,55.336252
15660,SAN EDUARDO,2017,39.465046
15664,SAN JOSE DE PARE,2017,46.780444
15667,SAN LUIS DE GACENO,2017,52.002319
15673,SAN MATEO,2017,48.462622
15676,SAN MIGUEL DE SEMA,2017,55.592005
15681,SAN PABLO DE BORBUR,2017,45.969269
15686,SANTANA,2017,51.899007
15690,SANTA MARIA,2017,60.892087
15693,SANTA ROSA DE VITERB,2017,45.296430
15696,SANTA SOFIA,2017,54.392390
15720,SATIVANORTE,2017,47.519521
15723,SATIVASUR,2017,47.540824
15740,SIACHOQUE,2017,49.519364
15753,SOATA,2017,48.927512
15755,SOCOTA,2017,50.917186
15757,SOCHA,2017,54.104672
15759,SOGAMOSO,2017,63.476307
15761,SOMONDOCO,2017,56.733464
15762,SORA,2017,46.676713
15763,SOTAQUIRA,2017,57.296884
15764,SORACA,2017,47.674064
15774,SUSACON,2017,39.891067
15776,SUTAMARCHAN,2017,53.793036
15778,SUTATENZA,2017,47.460482
15790,TASCO,2017,47.481905
15798,TENZA,2017,47.286772
15804,TIBANA,2017,56.114158
15806,TIBASOSA,2017,64.800351
15808,TINJACA,2017,49.569684
15810,TIPACOQUE,2017,41.224842
15814,TOCA,2017,55.960303
15816,TOGUI,2017,55.002280
15820,TOPAGA,2017,50.503911
15822,TOTA,2017,55.215288
15832,TUNUNGUA,2017,46.878777
15835,TURMEQUE,2017,54.618197
15837,TUTA,2017,51.811683
15839,TUTASA,2017,43.575338
15842,UMBITA,2017,48.502225
15861,VENTAQUEMADA,2017,56.617991
15879,VIRACACHA,2017,55.922220
15897,ZETAQUIRA,2017,59.460882
15001,TUNJA,2018,65.789016
15022,ALMEIDA,2018,44.505736
15047,AQUITANIA,2018,43.797885
15051,ARCABUCO,2018,56.370998
15087,BELEN,2018,49.434834
15090,BERBEO,2018,49.176255
15092,BETEITIVA,2018,50.492655
15097,BOAVITA,2018,46.841654
15104,BOYACA,2018,52.857967
15106,BRICEÐO,2018,53.293546
15109,BUENAVISTA,2018,49.241240
15114,BUSBANZA,2018,53.825076
15131,CALDAS,2018,46.613472
15135,CAMPOHERMOSO,2018,50.263216
15162,CERINZA,2018,48.522339
15172,CHINAVITA,2018,60.048099
15176,CHIQUINQUIRA,2018,60.043113
15180,CHISCAS,2018,48.541262
15183,CHITA,2018,44.573808
15185,CHITARAQUE,2018,50.393211
15187,CHIVATA,2018,48.452575
15189,CIENAGA,2018,48.554534
15204,COMBITA,2018,49.071991
15212,COPER,2018,54.305468
15215,CORRALES,2018,47.880230
15218,COVARACHIA,2018,49.690513
15223,CUBARA,2018,56.747376
15224,CUCAITA,2018,42.565521
15226,CUITIVA,2018,54.886147
15232,CHIQUIZA,2018,56.827349
15236,CHIVOR,2018,56.453407
15238,DUITAMA,2018,62.037843
15244,EL COCUY,2018,44.339566
15248,EL ESPINO,2018,39.970282
15272,FIRAVITOBA,2018,53.728256
15276,FLORESTA,2018,44.051285
15293,GACHANTIVA,2018,55.323060
15296,GAMEZA,2018,55.346824
15299,GARAGOA,2018,58.711182
15317,GUACAMAYAS,2018,46.069854
15322,GUATEQUE,2018,60.865883
15325,GUAYATA,2018,48.957835
15332,GUICAN,2018,43.267901
15362,IZA,2018,57.477873
15367,JENESANO,2018,60.764486
15368,JERICO,2018,55.732099
15377,LABRANZAGRANDE,2018,47.834331
15380,LA CAPILLA,2018,52.069244
15401,LA VICTORIA,2018,41.907459
15403,LA UVITA,2018,48.771598
15407,VILLA DE LEYVA,2018,56.354662
15425,MACANAL,2018,47.305502
15442,MARIPI,2018,57.719364
15455,MIRAFLORES,2018,39.045811
15464,MONGUA,2018,42.823148
15466,MONGUI,2018,51.825961
15469,MONIQUIRA,2018,46.609082
15476,MOTAVITA,2018,51.942575
15480,MUZO,2018,52.719341
15491,NOBSA,2018,43.507069
15494,NUEVO COLON,2018,62.053371
15500,OICATA,2018,43.877174
15507,OTANCHE,2018,54.436164
15511,PACHAVITA,2018,47.661748
15514,PAEZ,2018,66.708710
15516,PAIPA,2018,54.888455
15518,PAJARITO,2018,48.695965
15522,PANQUEBA,2018,43.872663
15531,PAUNA,2018,40.060880
15533,PAYA,2018,53.470244
15537,PAZ DE RIO,2018,55.290382
15542,PESCA,2018,49.298727
15550,PISVA,2018,55.424188
15572,PUERTO BOYACA,2018,37.845214
15580,QUIPAMA,2018,55.360256
15599,RAMIRIQUI,2018,51.201473
15600,RAQUIRA,2018,33.988155
15621,RONDON,2018,50.452206
15632,SABOYA,2018,56.091350
15638,SACHICA,2018,50.626962
15646,SAMACA,2018,53.451563
15660,SAN EDUARDO,2018,47.863969
15664,SAN JOSE DE PARE,2018,56.829940
15667,SAN LUIS DE GACENO,2018,39.879129
15673,SAN MATEO,2018,58.339500
15676,SAN MIGUEL DE SEMA,2018,38.977641
15681,SAN PABLO DE BORBUR,2018,60.205112
15686,SANTANA,2018,45.402131
15690,SANTA MARIA,2018,53.478926
15693,SANTA ROSA DE VITERB,2018,57.615047
15696,SANTA SOFIA,2018,52.662493
15720,SATIVANORTE,2018,47.974238
15723,SATIVASUR,2018,49.637790
15740,SIACHOQUE,2018,48.877811
15753,SOATA,2018,56.211170
15755,SOCOTA,2018,46.547865
