Indicador,geo,Area,Periodo,Valor
Cobertura bruta de educación (media),15798,Tenza,2015,0.803000
Cobertura bruta de educación (media),15806,Tibasosa,2015,0.542000
Cobertura bruta de educación (media),15804,Tibaná,2015,0.681000
Cobertura bruta de educación (media),15808,Tinjacá,2015,0.604000
Cobertura bruta de educación (media),15810,Tipacoque,2015,0.935000
Cobertura bruta de educación (media),15814,Toca,2015,0.825000
Cobertura bruta de educación (media),15816,Togüí,2015,0.443000
Cobertura bruta de educación (media),15820,Tópaga,2015,0.950000
Cobertura bruta de educación (media),15822,Tota,2015,0.912000
Cobertura bruta de educación (media),15832,Tununguá,2015,0.708000
Cobertura bruta de educación (media),15835,Turmequé,2015,1.239000
Cobertura bruta de educación (media),15837,Tuta,2015,0.906000
Cobertura bruta de educación (media),15837,Tutaza,2015,1.327000
Cobertura bruta de educación (media),15842,Úmbita,2015,0.551000
Cobertura bruta de educación (media),15861,Ventaquemada,2015,0.825000
Cobertura bruta de educación (media),15407,Villa De Leyva,2015,0.752000
Cobertura bruta de educación (media),15879,Viracachá,2015,0.627000
Cobertura bruta de educación (media),15897,Zetaquira,2015,1.282000
Cobertura bruta de educación (media),15022,Almeida,2016,0.862000
Cobertura bruta de educación (media),15047,Aquitania,2016,0.664000
Cobertura bruta de educación (media),15051,Arcabuco,2016,1.317000
Cobertura bruta de educación (media),15087,Belén,2016,1.200000
Cobertura bruta de educación (media),15090,Berbeo,2016,0.534000
Cobertura bruta de educación (media),15092,Betéitiva,2016,1.059000
Cobertura bruta de educación (media),15097,Boavita,2016,0.934000
Cobertura bruta de educación (media),15104,Boyacá,2016,0.680000
Cobertura bruta de educación (media),15106,Briceño,2016,0.586000
Cobertura bruta de educación (media),15109,Buenavista,2016,0.714000
Cobertura bruta de educación (media),15114,Busbanzá,2016,0.297000
Cobertura bruta de educación (media),15131,Caldas,2016,0.991000
Cobertura bruta de educación (media),15135,Campohermoso,2016,0.361000
Cobertura bruta de educación (media),15162,Cerinza,2016,0.939000
Cobertura bruta de educación (media),15172,Chinavita,2016,0.734000
Cobertura bruta de educación (media),15176,Chiquinquirá,2016,0.893000
Cobertura bruta de educación (media),15232,Chíquiza,2016,0.511000
Cobertura bruta de educación (media),15180,Chiscas,2016,0.725000
Cobertura bruta de educación (media),15183,Chita,2016,0.836000
Cobertura bruta de educación (media),15185,Chitaraque,2016,0.648000
Cobertura bruta de educación (media),15187,Chivatá,2016,0.244000
