Año,2020,2021,2022
FIN-1-1,4.000000,3.000000,3.000000
FIN-1-2,14.000000,14.000000,13.000000
FIN-1-3,16.000000,16.000000,16.000000
FIN-1-4,21.000000,21.000000,23.000000
Total sistema financiero,13.000000,12.000000,11.000000
