Año,2020,2021,2022
FIN-1-1,5.803960,6.999207,8.360651
FIN-1-2,4.335918,4.580413,4.811762
FIN-1-3,2.146526,2.111004,1.842313
FIN-1-4,2.301204,2.386252,2.440390
Total sistema financiero,3.646902,4.019219,4.363779
