Año,Periodo,BACHILLERATO,PRIMARIA,SIN INFORMACIÓN,NINGUNO,PREGRADO
2020,ene a jun,0,1,4,0,0
2020,jul a dic,0,4,0,0,1
2021,ene a jun,0,1,1,0,0
2021,jul a dic,1,0,1,0,0
2022,ene a jun,2,1,3,0,0
2022,jul a dic,0,0,1,3,0
2023,ene a jun,0,4,2,1,1
2023,jul a dic,0,2,13,1,0
2024,ene a jun,2,0,5,0,0
