Provincia,Expedientes
Sugamuxi,425
Centro,166
Tundama,154
Valderrama,119
Occidente,82
Ricaurte,57
Norte,38
Lengupá,32
Manejo Especial,17
No Definido,10
Márquez,5
Gutiérrez,4
