Index,2013,2014,2015,2016,2017
BOYACA,0.991200,0.990700,0.992800,0.991800,0.992800
CUNDINAMARCA,0.996700,0.996800,0.997700,0.997400,0.997300
META,0.994100,0.994300,0.996000,0.993200,0.987600
NORTE DE SANTANDER,0.977100,0.987000,0.987200,0.988200,0.988400
SANTANDER,0.995000,0.995400,0.996800,0.997100,0.997200
