Index,2015,2016,2017,2018,2019
BOYACÁ,11.650000,10.980000,11.220000,12.180000,13.830000
CUNDINAMARCA,9.280000,10.350000,9.400000,9.320000,12.210000
META,10.650000,11.320000,8.600000,10.920000,12.870000
NORTE DE SANTANDER,14.380000,15.180000,16.480000,13.430000,16.070000
SANTANDER,8.850000,8.170000,7.740000,5.560000,7.820000
