Provincia,Toneladas
Centro,758697.180000
Distrito Fronterizo,1044.360000
Gutierrez,17027.770000
La Libertad,12994.380000
Lengupa,62790.760000
Marquez,212717.250000
Neira,24824.400000
Norte,37646.390000
Occidente,319150.400000
Oriente,31464.730000
Ricaurte,1637638.700000
Sugamuxi,211221.850000
Tundama,54043.250000
Valderrama,35766.080000
Zona De Manejo Especial,4865.020000
