Año,2020,2021,2022
Cobertura en educación superior,3.000000,3.000000,3.000000
Calidad en educación superior,6.000000,7.000000,6.000000
Educación para el trabajo y desarrollo humano,21.000000,19.000000,18.000000
Total educación superior y para el trabajo,10.000000,10.000000,10.000000
