Año,2020,2021,2022
Cobertura en educación superior,6.417795,6.432156,5.571240
Calidad en educación superior,6.183833,6.283137,7.016591
Educación para el trabajo y el desarrollo humano,2.969007,4.399079,4.158498
Total educación superior y para el trabajo,5.190212,5.704791,5.582110
