TIME,2015,2016,2017,2018,2019
BOYACÁ,0.008863,0.040000,0.020000,0.040000,0.160000
CUNDINAMARCA,0.038341,0.040000,0.000000,0.030000,0.090000
META,0.100766,0.150000,0.190000,0.200000,0.950000
NORTE DE SANTANDER,0.121542,0.660000,0.210000,1.410000,2.930000
SANTANDER,0.036759,0.090000,0.050000,0.070000,0.050000
