Año,geo,Municipio,Porcentaje,Categoria
2005,15022,ALMEIDA,0.123733,Centros poblados y rural disperso
2005,15047,AQUITANIA,0.184473,Centros poblados y rural disperso
2005,15051,ARCABUCO,0.130697,Centros poblados y rural disperso
2005,15087,BELÉN,0.162025,Centros poblados y rural disperso
2005,15090,BERBEO,0.092618,Centros poblados y rural disperso
2005,15092,BETÉITIVA,0.331028,Centros poblados y rural disperso
2005,15097,BOAVITA,0.400941,Centros poblados y rural disperso
2005,15104,BOYACÁ,0.154777,Centros poblados y rural disperso
2005,15106,BRICEÑO,0.108553,Centros poblados y rural disperso
2005,15109,BUENAVISTA,0.193997,Centros poblados y rural disperso
2005,15114,BUSBANZÁ,0.309565,Centros poblados y rural disperso
2005,15131,CALDAS,0.100520,Centros poblados y rural disperso
2005,15135,CAMPOHERMOSO,0.191607,Centros poblados y rural disperso
2005,15162,CERINZA,0.088592,Centros poblados y rural disperso
2005,15172,CHINAVITA,0.176447,Centros poblados y rural disperso
2005,15176,CHIQUINQUIRÁ,0.103860,Centros poblados y rural disperso
2005,15180,CHISCAS,0.413189,Centros poblados y rural disperso
2005,15183,CHITA,0.624252,Centros poblados y rural disperso
2005,15185,CHITARAQUE,0.199559,Centros poblados y rural disperso
2005,15187,CHIVATÁ,0.254806,Centros poblados y rural disperso
2005,15189,CIÉNEGA,0.080135,Centros poblados y rural disperso
2005,15204,CÓMBITA,0.113468,Centros poblados y rural disperso
2005,15212,COPER,0.193847,Centros poblados y rural disperso
2005,15215,CORRALES,0.153518,Centros poblados y rural disperso
2005,15218,COVARACHÍA,0.609047,Centros poblados y rural disperso
2005,15223,CUBARÁ,0.561048,Centros poblados y rural disperso
2005,15224,CUCAITA,0.179754,Centros poblados y rural disperso
2005,15226,CUÍTIVA,0.158640,Centros poblados y rural disperso
2005,15232,CHÍQUIZA,0.140009,Centros poblados y rural disperso
2005,15236,CHIVOR,0.096180,Centros poblados y rural disperso
2005,15238,DUITAMA,0.036371,Centros poblados y rural disperso
2005,15244,EL COCUY,0.445613,Centros poblados y rural disperso
2005,15248,EL ESPINO,0.326902,Centros poblados y rural disperso
2005,15272,FIRAVITOBA,0.079079,Centros poblados y rural disperso
2005,15276,FLORESTA,0.160001,Centros poblados y rural disperso
2005,15293,GACHANTIVÁ,0.294547,Centros poblados y rural disperso
2005,15296,GAMEZA,0.203161,Centros poblados y rural disperso
2005,15299,GARAGOA,0.192899,Centros poblados y rural disperso
2005,15317,GUACAMAYAS,0.422087,Centros poblados y rural disperso
2005,15322,GUATEQUE,0.147820,Centros poblados y rural disperso
2005,15325,GUAYATÁ,0.142949,Centros poblados y rural disperso
2005,15332,GÜICÁN,0.619770,Centros poblados y rural disperso
2005,15362,IZA,0.109715,Centros poblados y rural disperso
2005,15367,JENESANO,0.136258,Centros poblados y rural disperso
