geo,Municipio,año,casos
15232,Chiquiza,2019,5
15187,Chivata,2019,4
15204,Combita,2019,1
15224,Cucaita,2019,6
15476,Motavita,2019,1
15500,Oicata,2019,9
15646,Samaca,2019,5
15740,Siachoque,2019,14
15762,Sora,2019,4
15764,Soraca,2019,7
15763,Sotaquira,2019,5
15814,Toca,2019,1
15001,Tunja,2019,35
15837,Tuta,2019,9
15861,Ventaquemada,2019,1
15180,Chiscas,2019,1
15244,El Cocuy,2019,10
15248,El Espino,2019,2
15317,Guacamayas,2019,1
15332,Guican,2019,3
15522,Panqueba,2019,3
15377,Labranzagrande,2019,5
15533,Paya,2019,0
15550,Pisba,2019,0
15090,Berbeo,2019,0
15135,Campohermoso,2019,1
15514,Paez,2019,1
15660,San Eduardo,2019,2
15897,Zetaquira,2019,0
15104,Boyacá,2019,5
15189,Cienega,2019,4
15367,Jenesano,2019,2
15599,Ramiriqui,2019,4
15621,Rondon,2019,0
15804,Tibana,2019,1
15835,Turmeque,2019,4
15842,Umbita,2019,1
15879,Viracacha,2019,0
15172,Chinavita,2019,6
15299,Garagoa,2019,0
15425,Macanal,2019,0
15511,Pachavita,2019,2
15690,Santa Maria,2019,0
15097,Boavita,2019,5
15218,Covarachia,2019,2
15403,La Uvita,2019,3
15673,San Mateo,2019,1
15720,Sativanorte,2019,1
15753,Soata,2019,0
15774,Susacon,2019,3
15810,Tipacoque,2019,3
15106,Briceño,2019,2
15109,Buenavista,2019,0
15131,Caldas,2019,1
15176,Chiquinquira,2019,9
15212,Coper,2019,1
15401,La Victoria,2019,0
15480,Muzo,2019,1
15507,Otanche,2019,1
15531,Pauna,2019,2
15580,Quipama,2019,3
15632,Saboya,2019,12
15676,San Miguel de Sema,2019,0
15681,San Pablo de Borbur,2019,3
15832,Tunungua,2019,1
15572,Puerto Boyaca,2019,12
15022,Almeida,2019,1
15236,Chivor,2019,0
15322,Guateque,2019,3
15325,Guayata,2019,4
15380,La Capilla,2019,4
15761,Somondoco,2019,1
15778,Sutatenza,2019,2
15051,Arcabuco,2019,0
15185,Chitaraque,2019,8
15293,Gachantiva,2019,4
15469,Moniquira,2019,0
15600,Raquira,2019,11
15638,Sachica,2019,5
15664,San Jose de Pare,2019,0
15696,Santa Sofia,2019,1
15776,Sutamarchan,2019,7
15808,Tinjaca,2019,3
15816,Togui,2019,9
15407,Villa de Leyva,2019,7
15047,Aquitania,2019,3
15226,Cuitiva,2019,1
15272,Firavitoba,2019,0
15296,Gameza,2019,7
15362,Iza,2019,1
15464,Mongua,2019,5
15466,Mongui,2019,8
15491,Nobsa,2019,3
15542,Pesca,2019,4
15806,Tibasosa,2019,6
15820,Topaga,2019,2
15822,Tota,2019,7
15087,Belen,2019,4
15114,Busbanza,2019,0
15162,Cerinza,2019,10
15215,Corrales,2019,1
15238,Duitama,2019,62
15276,Floresta,2019,2
15516,Paipa,2019,8
15693,Santa Rosa de Viterbo,2019,4
15839,Tutaza,2019,1
