geo,Municipio,ICEE,Año
15001,Tunja,100,2020
15001,Tunja,100,2021
15001,Tunja,100,2022
15001,Tunja,100,2023
15001,Tunja,100,2024
15022,Almeida,70.11,2020
15022,Almeida,71.75,2021
15022,Almeida,71.65,2022
15022,Almeida,72.9,2023
15022,Almeida,76.08,2024
15047,Aquitania,84.81,2020
15047,Aquitania,98.26,2021
15047,Aquitania,85.58,2022
15047,Aquitania,86.69,2023
15047,Aquitania,89.12,2024
15051,Arcabuco,93.22,2020
15051,Arcabuco,98.26,2021
15051,Arcabuco,100,2022
15051,Arcabuco,100,2023
15051,Arcabuco,100,2024
15087,Belén,82.61,2020
15087,Belén,86.14,2021
15087,Belén,86.02,2022
15087,Belén,89.07,2023
15087,Belén,98.33,2024
15090,Berbeo,91.36,2020
15090,Berbeo,91.89,2021
15090,Berbeo,96.05,2022
15090,Berbeo,96.3,2023
15090,Berbeo,97.35,2024
15092,Betéitiva,62.37,2020
15092,Betéitiva,63.92,2021
15092,Betéitiva,65.14,2022
15092,Betéitiva,61.68,2023
15092,Betéitiva,62.24,2024
15097,Boavita,81.21,2020
15097,Boavita,87.04,2021
15097,Boavita,88.07,2022
15097,Boavita,85.08,2023
15097,Boavita,90.63,2024
15104,Boyacá,100,2020
15104,Boyacá,100,2021
15104,Boyacá,100,2022
15104,Boyacá,78.39,2023
15104,Boyacá,80.2,2024
15106,Briceño,92.2,2020
15106,Briceño,100,2021
15106,Briceño,86.13,2022
15106,Briceño,88.62,2023
15106,Briceño,90.89,2024
15109,Buenavista,84.8,2020
15109,Buenavista,86,2021
15109,Buenavista,88.02,2022
15109,Buenavista,92.35,2023
15109,Buenavista,96.03,2024
15114,Busbanzá,50,2020
15114,Busbanzá,49.69,2021
15114,Busbanzá,51.56,2022
15114,Busbanzá,52.17,2023
15114,Busbanzá,53.72,2024
15131,Caldas,78.29,2020
15131,Caldas,83.88,2021
15131,Caldas,95.86,2022
15131,Caldas,78.55,2023
15131,Caldas,80.06,2024
15135,Campohermoso,71.06,2020
15135,Campohermoso,70.83,2021
15135,Campohermoso,67.71,2022
15135,Campohermoso,73.04,2023
15135,Campohermoso,72.07,2024
15162,Cerinza,77.57,2020
15162,Cerinza,79.07,2021
15162,Cerinza,79.96,2022
15162,Cerinza,81.06,2023
15162,Cerinza,82,2024
15172,Chinavita,74.79,2020
