geo,Municipio,ICEE,Año
15325,Guayatá,70.95,2022
15325,Guayatá,71.33,2023
15325,Guayatá,73.09,2024
15332,Güicán,75.23,2020
15332,Güicán,75.43,2021
15332,Güicán,100,2022
15332,Güicán,73.88,2023
15332,Güicán,74.04,2024
15362,Iza,80.42,2020
15362,Iza,85.05,2021
15362,Iza,100,2022
15362,Iza,87.12,2023
15362,Iza,88.37,2024
15367,Jenesano,81.05,2020
15367,Jenesano,81.9,2021
15367,Jenesano,89.77,2022
15367,Jenesano,88.03,2023
15367,Jenesano,90.02,2024
15368,Jericó,71.15,2020
15368,Jericó,72.14,2021
15368,Jericó,72.32,2022
15368,Jericó,73.37,2023
15368,Jericó,75.88,2024
15377,Labranza Grande,40.9,2020
15377,Labranza Grande,45.21,2021
15377,Labranza Grande,100,2022
15377,Labranza Grande,49.66,2023
15377,Labranza Grande,51.44,2024
15380,La Capilla,93.5,2020
15380,La Capilla,94.16,2021
15380,La Capilla,93.73,2022
15380,La Capilla,94.36,2023
15380,La Capilla,94.8,2024
15401,La Victoria,76.91,2020
15401,La Victoria,78.4,2021
15401,La Victoria,78.08,2022
15401,La Victoria,77.29,2023
15401,La Victoria,76.06,2024
15403,La Uvita,82.28,2020
15403,La Uvita,82.34,2021
15403,La Uvita,82.21,2022
15403,La Uvita,82.01,2023
15403,La Uvita,82.02,2024
15407,Villa De Leyva,96.27,2020
15407,Villa De Leyva,100,2021
15407,Villa De Leyva,100,2022
15407,Villa De Leyva,100,2023
15407,Villa De Leyva,100,2024
15425,Macanal,74.73,2020
15425,Macanal,77.14,2021
15425,Macanal,78.83,2022
15425,Macanal,79.59,2023
15425,Macanal,80.12,2024
15442,Maripí,64.63,2020
15442,Maripí,64.9,2021
15442,Maripí,66.73,2022
15442,Maripí,66.23,2023
15442,Maripí,66.99,2024
15455,Miraflores,96.47,2020
15455,Miraflores,96.69,2021
15455,Miraflores,97.5,2022
15455,Miraflores,97.68,2023
15455,Miraflores,97.48,2024
15464,Mongua,72.17,2020
15464,Mongua,72.38,2021
15464,Mongua,100,2022
15464,Mongua,72.24,2023
15464,Mongua,72.86,2024
15466,Monguì,57.48,2020
15466,Monguì,59.31,2021
15466,Monguì,68.49,2022
15466,Monguì,61.57,2023
15466,Monguì,62.77,2024
15469,Moniquira,92.38,2020
15469,Moniquira,94.12,2021
15469,Moniquira,96.57,2022
15469,Moniquira,93.98,2023
15469,Moniquira,96.23,2024
15476,Motavita,100,2020
15476,Motavita,100,2021
15476,Motavita,100,2022
15476,Motavita,97.87,2023
15476,Motavita,99.09,2024
15480,Muzo,88.51,2020
15480,Muzo,89.57,2021
15480,Muzo,89.8,2022
15480,Muzo,91.49,2023
15480,Muzo,93.18,2024
15491,Nobsa,97.66,2020
15491,Nobsa,99.54,2021
15491,Nobsa,99.62,2022
15491,Nobsa,100,2023
15491,Nobsa,100,2024
15494,Nuevo Colón,100,2020
15494,Nuevo Colón,100,2021
15494,Nuevo Colón,100,2022
15494,Nuevo Colón,100,2023
15494,Nuevo Colón,100,2024
15500,Oicata,100,2020
15500,Oicata,100,2021
15500,Oicata,100,2022
15500,Oicata,100,2023
15500,Oicata,100,2024
15507,Otanche,82.23,2020
15507,Otanche,79.66,2021
15507,Otanche,71.78,2022
15507,Otanche,70.37,2023
15507,Otanche,78.89,2024
15511,Pachavita,81.82,2020
15511,Pachavita,82.32,2021
15511,Pachavita,82.81,2022
15511,Pachavita,83.41,2023
15511,Pachavita,84.75,2024
15514,Páez,78.49,2020
15514,Páez,78.23,2021
15514,Páez,78.04,2022
15514,Páez,77.46,2023
15514,Páez,76.96,2024
15516,Paipa,100,2020
15516,Paipa,100,2021
15516,Paipa,100,2022
15516,Paipa,100,2023
15516,Paipa,100,2024
15518,Pajarito,77.59,2020
15518,Pajarito,78.27,2021
15518,Pajarito,100,2022
15518,Pajarito,75.25,2023
15518,Pajarito,76.86,2024
15522,Panqueba,74.79,2020
15522,Panqueba,75.14,2021
15522,Panqueba,75.16,2022
15522,Panqueba,76.08,2023
15522,Panqueba,79.66,2024
15531,Pauna,60.63,2020
15531,Pauna,65.87,2021
15531,Pauna,70.46,2022
15531,Pauna,70.85,2023
15531,Pauna,72.32,2024
15533,Paya,74.02,2020
15533,Paya,76.34,2021
15533,Paya,100,2022
15533,Paya,77.21,2023
15533,Paya,77.98,2024
15537,Paz De Río,63.07,2020
15537,Paz De Río,64.55,2021
