Año,geo,Sexo,Casos
2015,15001,Hombre,1
2015,15176,Hombre,1
2015,15238,Hombre,0
2015,15272,Hombre,0
2015,15296,Hombre,1
2015,15469,Hombre,1
2015,15632,Hombre,0
2015,15755,Hombre,0
2015,15759,Hombre,4
2015,15804,Hombre,1
2015,15816,Hombre,1
2016,15001,Hombre,3
2016,15238,Hombre,3
2016,15455,Hombre,1
2016,15469,Hombre,1
2016,15507,Hombre,1
2016,15667,Hombre,0
2016,15759,Hombre,3
2017,15001,Hombre,0
2017,15238,Hombre,2
2017,15469,Hombre,1
2017,15516,Hombre,1
2017,15531,Hombre,1
2017,15572,Hombre,1
2017,15646,Hombre,1
2017,15690,Hombre,1
2017,15759,Hombre,4
2017,15804,Hombre,1
2018,15204,Hombre,1
2018,15238,Hombre,3
2018,15362,Hombre,1
2018,15469,Hombre,1
2018,15491,Hombre,1
2018,15516,Hombre,1
2018,15572,Hombre,1
2018,15632,Hombre,1
2018,15646,Hombre,1
2018,15664,Hombre,0
2018,15723,Hombre,1
2018,15759,Hombre,1
2018,15764,Hombre,1
2018,15790,Hombre,0
2018,15001,Hombre,3
2018,15835,Hombre,1
2018,15407,Hombre,0
2019,15238,Hombre,2
2019,15296,Hombre,1
2019,15469,Hombre,1
2019,15514,Hombre,1
2019,15516,Hombre,1
2019,15599,Hombre,1
2019,15646,Hombre,1
2019,15720,Hombre,1
2019,15759,Hombre,4
2019,15764,Hombre,1
2019,15001,Hombre,7
2019,15839,Hombre,1
2019,15407,Hombre,1
2020,15226,Hombre,1
2020,15238,Hombre,2
2020,15325,Hombre,1
2020,15494,Hombre,1
2020,15572,Hombre,2
2020,15632,Hombre,1
2020,15804,Hombre,1
2020,15001,Hombre,5
2020,15835,Hombre,1
2021,15104,Hombre,0
2021,15176,Hombre,1
2021,15223,Hombre,1
2021,15238,Hombre,3
2021,15299,Hombre,1
2021,15322,Hombre,1
2021,15377,Hombre,1
2021,15469,Hombre,1
2021,15507,Hombre,1
2021,15516,Hombre,1
2021,15600,Hombre,1
2021,15621,Hombre,1
2021,15632,Hombre,1
2021,15638,Hombre,1
2021,15646,Hombre,1
2021,15806,Hombre,1
2021,15001,Hombre,4
2021,15837,Hombre,1
2021,15897,Hombre,0
2015,15001,Mujer,1
2015,15176,Mujer,0
2015,15238,Mujer,1
2015,15272,Mujer,1
2015,15296,Mujer,0
2015,15469,Mujer,0
2015,15632,Mujer,1
2015,15755,Mujer,1
2015,15759,Mujer,1
2015,15804,Mujer,0
2015,15816,Mujer,0
2016,15001,Mujer,0
2016,15238,Mujer,0
2016,15455,Mujer,0
2016,15469,Mujer,0
2016,15507,Mujer,0
2016,15667,Mujer,1
2016,15759,Mujer,1
2017,15001,Mujer,3
2017,15238,Mujer,0
2017,15469,Mujer,0
2017,15516,Mujer,0
2017,15531,Mujer,0
2017,15572,Mujer,0
2017,15646,Mujer,0
2017,15690,Mujer,0
2017,15759,Mujer,0
2017,15804,Mujer,0
2018,15204,Mujer,0
2018,15238,Mujer,0
2018,15362,Mujer,0
2018,15469,Mujer,0
2018,15491,Mujer,0
2018,15516,Mujer,0
2018,15572,Mujer,1
2018,15632,Mujer,0
2018,15646,Mujer,0
2018,15664,Mujer,1
2018,15723,Mujer,0
2018,15759,Mujer,0
2018,15764,Mujer,0
2018,15790,Mujer,1
2018,15001,Mujer,1
2018,15835,Mujer,0
2018,15407,Mujer,1
2019,15238,Mujer,1
2019,15296,Mujer,0
2019,15469,Mujer,0
2019,15514,Mujer,0
2019,15516,Mujer,0
2019,15599,Mujer,0
2019,15646,Mujer,0
2019,15720,Mujer,0
2019,15759,Mujer,1
2019,15764,Mujer,0
2019,15001,Mujer,0
2019,15839,Mujer,0
2019,15407,Mujer,0
2020,15226,Mujer,0
2020,15238,Mujer,0
2020,15325,Mujer,0
2020,15494,Mujer,0
2020,15572,Mujer,1
2020,15632,Mujer,0
2020,15804,Mujer,0
2020,15001,Mujer,0
2020,15835,Mujer,0
2021,15104,Mujer,1
2021,15176,Mujer,0
2021,15223,Mujer,0
2021,15238,Mujer,2
2021,15299,Mujer,0
2021,15322,Mujer,0
2021,15377,Mujer,0
2021,15469,Mujer,0
2021,15507,Mujer,0
2021,15516,Mujer,0
2021,15600,Mujer,0
2021,15621,Mujer,0
2021,15632,Mujer,0
2021,15638,Mujer,0
2021,15646,Mujer,0
2021,15806,Mujer,0
2021,15001,Mujer,1
2021,15837,Mujer,0
2021,15897,Mujer,1
