Municipio,Valor
Tunja,123
Sáchica,39
Sotaquirá,37
Moniquirá,28
Sora,27
La Uvita,21
Soatá,20
Duitama,19
Firavitoba,18
Boavita,16
Cucaita,14
Samacá,13
