Tipo de transporte,Visitantes
Alquiler de vehículo.,2
Bicicletas,1
Moto,1
Transporte terrestre de excursiones y/o planes turísticos.,11
Transporte terrestre de pasajeros (bus¬ buseta¬ taxi¬ automóvil).,31
Vehículo de amigos o familiares.,45
Vehículo propio.,455
