Año,Periodo,Primera infancia (0 a 5 años),Infancia (6 a 11 años),Adolescencia (12 a 17 años),Juventud (18 a 28 años),Adultez (29 a 59 años),Vejez (Mayor a 60 años)
2020,ene a jun,2,1,8,16,25,9
2020,jul a dic,1,3,5,31,48,17
2021,ene a jun,,1,7,31,49,19
2021,jul a dic,,1,3,35,51,18
2022,ene a jun,5,2,4,38,47,26
2022,jul a dic,3,,9,33,45,25
2023,ene a jun,3,,3,37,31,17
2023,jul a dic,3,,5,35,53,25
2024,ene a jun,5,,8,31,53,15
