geo,Municipio,IRCA,Año
15001,Tunja,0.6,2020
15001,Tunja,0.8,2021
15001,Tunja,0.5,2022
15001,Tunja,0.4,2023
15001,Tunja,0.78,2024
15001,Tunja,0.08,2025
15022,Almeida,2.2,2020
15022,Almeida,1.2,2021
15022,Almeida,0,2022
15022,Almeida,2.1,2023
15022,Almeida,3.09,2024
15022,Almeida,10.57,2025
15047,Aquitania,0,2020
15047,Aquitania,0.5,2021
15047,Aquitania,1.7,2022
15047,Aquitania,1.9,2023
15047,Aquitania,9.09,2024
15047,Aquitania,1.86,2025
15051,Arcabuco,0,2020
15051,Arcabuco,1.7,2021
15051,Arcabuco,0.3,2022
15051,Arcabuco,0.7,2023
15051,Arcabuco,2.53,2024
15051,Arcabuco,4.03,2025
15087,Belén,1.7,2020
15087,Belén,2.6,2021
15087,Belén,0.3,2022
15087,Belén,8.7,2023
15087,Belén,0,2024
15087,Belén,2.43,2025
15090,Berbeo,4.8,2020
15090,Berbeo,4.5,2021
15090,Berbeo,7.2,2022
15090,Berbeo,11.6,2023
15090,Berbeo,29.23,2024
15090,Berbeo,16.3,2025
15092,Betéitiva,0.7,2020
15092,Betéitiva,7.5,2021
15092,Betéitiva,22.1,2022
15092,Betéitiva,7.3,2023
15092,Betéitiva,1.29,2024
15092,Betéitiva,21.98,2025
15097,Boavita,0,2020
15097,Boavita,0,2021
15097,Boavita,7.7,2022
15097,Boavita,0,2023
15097,Boavita,0,2024
15097,Boavita,1.52,2025
15104,Boyacá,0.6,2020
15104,Boyacá,1,2021
15104,Boyacá,0.7,2022
15104,Boyacá,15.3,2023
15104,Boyacá,8.16,2024
15104,Boyacá,9.24,2025
15106,Briceño,14.3,2020
15106,Briceño,3.5,2021
15106,Briceño,13.1,2022
15106,Briceño,1.6,2023
15106,Briceño,1.54,2024
15106,Briceño,18.05,2025
15109,Buenavista,0,2020
15109,Buenavista,2.8,2021
15109,Buenavista,7.1,2022
15109,Buenavista,10,2023
15109,Buenavista,0,2024
15109,Buenavista,0.14,2025
15114,Busbanzá,6.7,2020
15114,Busbanzá,0,2021
15114,Busbanzá,5.1,2022
15114,Busbanzá,6.9,2023
15114,Busbanzá,6.13,2024
15114,Busbanzá,15.13,2025
15131,Caldas,22.3,2020
15131,Caldas,38.9,2021
15131,Caldas,25.8,2022
15131,Caldas,8.2,2023
15131,Caldas,31.63,2024
15131,Caldas,26.92,2025
15135,Campohermoso,4.4,2020
15135,Campohermoso,4.4,2021
15135,Campohermoso,10.7,2022
15135,Campohermoso,15.5,2023
15135,Campohermoso,17.52,2024
15135,Campohermoso,17.48,2025
15162,Cerinza,9.5,2020
15162,Cerinza,0,2021
15162,Cerinza,2.5,2022
15162,Cerinza,4.8,2023
15162,Cerinza,9.74,2024
15162,Cerinza,2.45,2025
15172,Chinavita,1,2020
15172,Chinavita,9.4,2021
15172,Chinavita,13.3,2022
15172,Chinavita,0.5,2023
15172,Chinavita,8.76,2024
15172,Chinavita,8.71,2025
15176,Chiquinquirá,0.3,2020
15176,Chiquinquirá,1.7,2021
15176,Chiquinquirá,3.2,2022
15176,Chiquinquirá,3.7,2023
15176,Chiquinquirá,4.56,2024
15176,Chiquinquirá,1.78,2025
15180,Chiscas,0,2020
15180,Chiscas,0,2021
15180,Chiscas,0.3,2022
15180,Chiscas,4.5,2023
15180,Chiscas,5.01,2024
15180,Chiscas,0.52,2025
15183,Chita,0.3,2020
15183,Chita,0,2021
15183,Chita,0,2022
15183,Chita,1.5,2023
15183,Chita,9.84,2024
15183,Chita,2.3,2025
15185,Chitaraque,7.4,2020
15185,Chitaraque,5.2,2021
15185,Chitaraque,8,2022
15185,Chitaraque,3.5,2023
15185,Chitaraque,2.82,2024
15185,Chitaraque,0.78,2025
15187,Chivatá,0.1,2020
15187,Chivatá,0,2021
15187,Chivatá,0.1,2022
15187,Chivatá,0,2023
15187,Chivatá,0,2024
15187,Chivatá,6.76,2025
