Año,Sin riesgo,Bajo,Medio,Alto,Inviable sanitariamente,Sin información
2020,100,37,22,8,4,75
2021,86,43,30,28,7,52
2022,65,58,53,56,13,1
2023,86,39,49,62,9,1
2024,61,57,53,66,8,1
2025,75,46,53,63,8,1
