geo,Municipio,Año,Producción,Tipo
15442,Maripí,2021,1558.700000,Transitorio
15212,Coper,2021,1216.500000,Transitorio
15476,Motavita,2021,33373.050000,Transitorio
15232,Chíquiza,2021,34101.080000,Transitorio
15776,Sutamarchán,2021,46979.460000,Transitorio
15204,Cómbita,2021,25902.920000,Transitorio
15839,Tutazá,2021,20439.490000,Transitorio
15842,Úmbita,2021,24051.700000,Transitorio
15531,Pauna,2021,1430.620000,Transitorio
15367,Jenesano,2021,14824.310000,Transitorio
15494,Nuevo Colón,2021,6932.770000,Transitorio
15763,Sotaquirá,2021,14084.200000,Transitorio
15835,Turmequé,2021,14246.280000,Transitorio
15109,Buenavista,2021,2851.210000,Transitorio
15104,Boyacá,2021,20312.800000,Transitorio
15696,Santa Sofía,2021,10752.000000,Transitorio
15806,Tibasosa,2021,20117.210000,Transitorio
15822,Tota,2021,14316.360000,Transitorio
15755,Socotá,2021,13775.290000,Transitorio
15542,Pesca,2021,8020.940000,Transitorio
15580,Quípama,2021,2210.000000,Transitorio
15638,Sáchica,2021,15085.000000,Transitorio
15224,Cucaita,2021,8399.200000,Transitorio
15832,Tununguá,2021,550.000000,Transitorio
15189,Ciénega,2021,10677.480000,Transitorio
15600,Ráquira,2021,12030.800000,Transitorio
15087,Belén,2021,14500.840000,Transitorio
15599,Ramiriquí,2021,9451.000000,Transitorio
15507,Otanche,2021,121.360000,Transitorio
15879,Viracachá,2021,12300.570000,Transitorio
15368,Jericó,2021,10311.640000,Transitorio
15480,Muzo,2021,890.800000,Transitorio
15759,Sogamoso,2021,8726.670000,Transitorio
15131,Caldas,2021,9780.610000,Transitorio
15762,Sora,2021,11766.840000,Transitorio
15425,Macanal,2021,2080.950000,Transitorio
15491,Nobsa,2021,6865.370000,Transitorio
15511,Pachavita,2021,5754.700000,Transitorio
15293,Gachantivá,2021,3851.300000,Transitorio
15897,Zetaquira,2021,1270.500000,Transitorio
15837,Tuta,2021,6379.800000,Transitorio
15176,Chiquinquirá,2021,6776.800000,Transitorio
15325,Guayatá,2021,2171.260000,Transitorio
15218,Covarachía,2021,8053.560000,Transitorio
15238,Duitama,2021,6086.270000,Transitorio
15296,Gámeza,2021,7472.200000,Transitorio
15097,Boavita,2021,2380.000000,Transitorio
15272,Firavitoba,2021,6342.500000,Transitorio
15500,Oicatá,2021,4027.400000,Transitorio
15180,Chiscas,2021,3543.150000,Transitorio
15380,La Capilla,2021,4623.250000,Transitorio
15106,Briceño,2021,263.200000,Transitorio
15798,Tenza,2021,3505.250000,Transitorio
15183,Chita,2021,2414.250000,Transitorio
15774,Susacón,2021,5630.690000,Transitorio
15681,San Pablo de Borbur,2021,934.940000,Transitorio
15516,Paipa,2021,1947.630000,Transitorio
15377,Labranzagrande,2021,1177.720000,Transitorio
15572,Puerto Boyacá,2021,2149.950000,Transitorio
15514,Páez,2021,203.000000,Transitorio
15226,Cuítiva,2021,4435.000000,Transitorio
15660,San Eduardo,2021,247.600000,Transitorio
15236,Chivor,2021,197.790000,Transitorio
15808,Tinjacá,2021,3283.640000,Transitorio
15187,Chivatá,2021,3757.130000,Transitorio
15022,Almeida,2021,837.670000,Transitorio
15753,Soatá,2021,1823.020000,Transitorio
15244,El Cocuy,2021,3384.330000,Transitorio
15135,Campohermoso,2021,376.660000,Transitorio
15673,San Mateo,2021,1345.500000,Transitorio
15522,Panqueba,2021,3889.400000,Transitorio
15518,Pajarito,2021,177.790000,Transitorio
15693,Santa Rosa de Viterbo,2021,3793.630000,Transitorio
15820,Tópaga,2021,3032.620000,Transitorio
15172,Chinavita,2021,544.950000,Transitorio
15215,Corrales,2021,2241.700000,Transitorio
15464,Mongua,2021,2853.990000,Transitorio
15466,Monguí,2021,3178.470000,Transitorio
15810,Tipacoque,2021,808.000000,Transitorio
15621,Rondón,2021,444.000000,Transitorio
15090,Berbeo,2021,1008.100000,Transitorio
15667,San Luis de Gaceno,2021,2143.850000,Transitorio
15720,Sativanorte,2021,1350.400000,Transitorio
15299,Garagoa,2021,739.470000,Transitorio
15317,Guacamayas,2021,1025.600000,Transitorio
15690,Santa María,2021,264.560000,Transitorio
15676,San Miguel de Sema,2021,1893.300000,Transitorio
15778,Sutatenza,2021,939.660000,Transitorio
15092,Betéitiva,2021,1322.850000,Transitorio
15761,Somondoco,2021,520.010000,Transitorio
15248,El Espino,2021,1158.650000,Transitorio
15757,Socha,2021,843.300000,Transitorio
15403,La Uvita,2021,1467.590000,Transitorio
15533,Paya,2021,153.500000,Transitorio
15223,Cubará,2021,314.000000,Transitorio
15332,GÜICÁN DE LA SIERRA,2021,878.500000,Transitorio
15162,Cerinza,2021,1871.500000,Transitorio
15401,La Victoria,2021,146.650000,Transitorio
15790,Tasco,2021,1429.620000,Transitorio
15322,Guateque,2021,754.970000,Transitorio
15550,Pisba,2021,134.450000,Transitorio
15537,Paz de Río,2021,752.790000,Transitorio
15362,Iza,2021,656.000000,Transitorio
15276,Floresta,2021,485.700000,Transitorio
15723,Sativasur,2021,135.090000,Transitorio
15114,Busbanzá,2021,119.450000,Transitorio
15664,San José de Pare,2020,457140.100000,Permanente
15185,Chitaraque,2020,317469.000000,Permanente
15686,Santana,2020,226417.400000,Permanente
15816,Togüí,2020,265684.000000,Permanente
15469,Moniquirá,2020,181231.000000,Permanente
15740,Siachoque,2020,120.000000,Permanente
15861,Ventaquemada,2020,1961.000000,Permanente
15632,Saboyá,2020,10251.000000,Permanente
15047,Aquitania,2020,205.000000,Permanente
15001,Tunja,2020,30.000000,Permanente
15407,Villa de Leyva,2020,260.000000,Permanente
15814,Toca,2020,1142.000000,Permanente
15646,Samacá,2020,4.000000,Permanente
15764,Soracá,2020,935.000000,Permanente
15051,Arcabuco,2020,2006.000000,Permanente
15804,Tibaná,2020,32278.000000,Permanente
15455,Miraflores,2020,30213.800000,Permanente
15442,Maripí,2020,35739.510000,Permanente
15212,Coper,2020,33217.800000,Permanente
15476,Motavita,2020,12.000000,Permanente
15232,Chíquiza,2020,,Permanente
15776,Sutamarchán,2020,3347.200000,Permanente
15204,Cómbita,2020,2413.000000,Permanente
15839,Tutazá,2020,67.220000,Permanente
15842,Úmbita,2020,4233.200000,Permanente
15531,Pauna,2020,23725.390000,Permanente
15367,Jenesano,2020,10612.500000,Permanente
15494,Nuevo Colón,2020,15754.500000,Permanente
15763,Sotaquirá,2020,5654.000000,Permanente
15835,Turmequé,2020,7662.000000,Permanente
15109,Buenavista,2020,16907.500000,Permanente
15104,Boyacá,2020,350.780000,Permanente
15696,Santa Sofía,2020,8490.500000,Permanente
15806,Tibasosa,2020,212.000000,Permanente
15822,Tota,2020,100.000000,Permanente
15755,Socotá,2020,3822.000000,Permanente
15542,Pesca,2020,8.500000,Permanente
15580,Quípama,2020,13498.000000,Permanente
15638,Sáchica,2020,,Permanente
15224,Cucaita,2020,13.000000,Permanente
15832,Tununguá,2020,13851.450000,Permanente
15189,Ciénega,2020,5351.130000,Permanente
15600,Ráquira,2020,844.000000,Permanente
15087,Belén,2020,210.870000,Permanente
15599,Ramiriquí,2020,2631.000000,Permanente
15507,Otanche,2020,10149.300000,Permanente
15879,Viracachá,2020,647.970000,Permanente
15368,Jericó,2020,96.000000,Permanente
15480,Muzo,2020,9640.000000,Permanente
15759,Sogamoso,2020,66.000000,Permanente
15131,Caldas,2020,650.000000,Permanente
15762,Sora,2020,,Permanente
15425,Macanal,2020,9944.400000,Permanente
15491,Nobsa,2020,161.000000,Permanente
15511,Pachavita,2020,2691.600000,Permanente
15293,Gachantivá,2020,2589.000000,Permanente
15897,Zetaquira,2020,7140.000000,Permanente
15837,Tuta,2020,1492.000000,Permanente
15176,Chiquinquirá,2020,830.000000,Permanente
15325,Guayatá,2020,3936.100000,Permanente
15218,Covarachía,2020,1587.000000,Permanente
15238,Duitama,2020,831.340000,Permanente
15296,Gámeza,2020,20.800000,Permanente
15097,Boavita,2020,4878.000000,Permanente
15272,Firavitoba,2020,48.500000,Permanente
15500,Oicatá,2020,1458.000000,Permanente
15180,Chiscas,2020,2274.000000,Permanente
15380,La Capilla,2020,1043.400000,Permanente
15106,Briceño,2020,6656.000000,Permanente
15798,Tenza,2020,401.600000,Permanente
15183,Chita,2020,568.000000,Permanente
15774,Susacón,2020,1054.950000,Permanente
15681,San Pablo de Borbur,2020,3537.000000,Permanente
15516,Paipa,2020,2032.780000,Permanente
15377,Labranzagrande,2020,4752.000000,Permanente
15572,Puerto Boyacá,2020,2869.470000,Permanente
15514,Páez,2020,4509.300000,Permanente
15226,Cuítiva,2020,118.240000,Permanente
15660,San Eduardo,2020,4495.000000,Permanente
15236,Chivor,2020,4196.800000,Permanente
15808,Tinjacá,2020,511.800000,Permanente
15187,Chivatá,2020,34.000000,Permanente
15022,Almeida,2020,3227.000000,Permanente
15753,Soatá,2020,2283.000000,Permanente
15244,El Cocuy,2020,,Permanente
15135,Campohermoso,2020,2977.610000,Permanente
15673,San Mateo,2020,3826.500000,Permanente
15522,Panqueba,2020,368.000000,Permanente
15518,Pajarito,2020,2562.760000,Permanente
15693,Santa Rosa de Viterbo,2020,20.000000,Permanente
15820,Tópaga,2020,0.000000,Permanente
15172,Chinavita,2020,2403.000000,Permanente
15215,Corrales,2020,195.950000,Permanente
15464,Mongua,2020,7.800000,Permanente
15466,Monguí,2020,67.200000,Permanente
15810,Tipacoque,2020,1393.000000,Permanente
15621,Rondón,2020,2154.200000,Permanente
15090,Berbeo,2020,1513.470000,Permanente
15667,San Luis de Gaceno,2020,368.000000,Permanente
15720,Sativanorte,2020,514.000000,Permanente
15299,Garagoa,2020,1558.800000,Permanente
15317,Guacamayas,2020,1004.000000,Permanente
15690,Santa María,2020,1303.500000,Permanente
15676,San Miguel de Sema,2020,156.000000,Permanente
15778,Sutatenza,2020,600.000000,Permanente
15092,Betéitiva,2020,46.000000,Permanente
15761,Somondoco,2020,783.000000,Permanente
15248,El Espino,2020,294.000000,Permanente
15757,Socha,2020,3.000000,Permanente
15403,La Uvita,2020,304.000000,Permanente
15533,Paya,2020,330.920000,Permanente
15223,Cubará,2020,792.500000,Permanente
15332,GÜICÁN DE LA SIERRA,2020,,Permanente
15162,Cerinza,2020,57.000000,Permanente
15401,La Victoria,2020,856.100000,Permanente
15790,Tasco,2020,32.000000,Permanente
15322,Guateque,2020,119.000000,Permanente
15550,Pisba,2020,611.630000,Permanente
15537,Paz de Río,2020,12.900000,Permanente
15362,Iza,2020,164.620000,Permanente
15276,Floresta,2020,12.380000,Permanente
15723,Sativasur,2020,0.000000,Permanente
15114,Busbanzá,2020,0.000000,Permanente
15664,San José de Pare,2020,320.000000,Transitorio
15185,Chitaraque,2020,943.140000,Transitorio
15686,Santana,2020,1899.000000,Transitorio
15816,Togüí,2020,2172.780000,Transitorio
15469,Moniquirá,2020,5130.000000,Transitorio
15740,Siachoque,2020,180495.830000,Transitorio
15861,Ventaquemada,2020,143224.780000,Transitorio
15632,Saboyá,2020,115116.000000,Transitorio
15047,Aquitania,2020,114009.440000,Transitorio
15001,Tunja,2020,126514.260000,Transitorio
15407,Villa de Leyva,2020,105355.200000,Transitorio
15814,Toca,2020,78555.800000,Transitorio
15646,Samacá,2020,61811.000000,Transitorio
15764,Soracá,2020,70431.950000,Transitorio
15051,Arcabuco,2020,45993.000000,Transitorio
15804,Tibaná,2020,5303.260000,Transitorio
15455,Miraflores,2020,5480.800000,Transitorio
15442,Maripí,2020,5577.930000,Transitorio
15212,Coper,2020,2250.000000,Transitorio
15476,Motavita,2020,32432.100000,Transitorio
15232,Chíquiza,2020,26014.280000,Transitorio
15776,Sutamarchán,2020,16880.500000,Transitorio
15204,Cómbita,2020,30199.600000,Transitorio
15839,Tutazá,2020,34320.260000,Transitorio
15842,Úmbita,2020,26141.730000,Transitorio
15531,Pauna,2020,950.990000,Transitorio
15367,Jenesano,2020,14295.500000,Transitorio
15494,Nuevo Colón,2020,6405.970000,Transitorio
15763,Sotaquirá,2020,9442.490000,Transitorio
15835,Turmequé,2020,15219.450000,Transitorio
15109,Buenavista,2020,3296.350000,Transitorio
15104,Boyacá,2020,21216.440000,Transitorio
15696,Santa Sofía,2020,11655.330000,Transitorio
15806,Tibasosa,2020,16025.800000,Transitorio
15822,Tota,2020,17267.110000,Transitorio
15755,Socotá,2020,11133.880000,Transitorio
15542,Pesca,2020,10758.330000,Transitorio
15580,Quípama,2020,3275.000000,Transitorio
15638,Sáchica,2020,14764.000000,Transitorio
15224,Cucaita,2020,16735.800000,Transitorio
15832,Tununguá,2020,638.000000,Transitorio
15189,Ciénega,2020,7796.630000,Transitorio
15600,Ráquira,2020,12671.810000,Transitorio
15087,Belén,2020,14556.900000,Transitorio
15599,Ramiriquí,2020,7720.700000,Transitorio
15507,Otanche,2020,1352.000000,Transitorio
15879,Viracachá,2020,10343.300000,Transitorio
15368,Jericó,2020,11668.720000,Transitorio
15480,Muzo,2020,1226.450000,Transitorio
15759,Sogamoso,2020,9777.270000,Transitorio
15131,Caldas,2020,7905.000000,Transitorio
15762,Sora,2020,7667.800000,Transitorio
15425,Macanal,2020,1691.880000,Transitorio
15491,Nobsa,2020,6558.200000,Transitorio
15511,Pachavita,2020,5795.000000,Transitorio
15293,Gachantivá,2020,2241.710000,Transitorio
15897,Zetaquira,2020,744.000000,Transitorio
15837,Tuta,2020,5936.410000,Transitorio
15176,Chiquinquirá,2020,6459.060000,Transitorio
