geo,Municipio,Año,Porcentaje,Tipo
15476,Motavita,2021,99.967050,Transitorio
15232,Chíquiza,2021,100.000000,Transitorio
15776,Sutamarchán,2021,94.151630,Transitorio
15204,Cómbita,2021,85.761830,Transitorio
15839,Tutazá,2021,99.216780,Transitorio
15842,Úmbita,2021,84.303958,Transitorio
15531,Pauna,2021,5.243643,Transitorio
15367,Jenesano,2021,58.064394,Transitorio
15494,Nuevo Colón,2021,30.432553,Transitorio
15763,Sotaquirá,2021,80.315006,Transitorio
15835,Turmequé,2021,56.981382,Transitorio
15109,Buenavista,2021,13.108120,Transitorio
15104,Boyacá,2021,98.228741,Transitorio
15696,Santa Sofía,2021,55.906008,Transitorio
15806,Tibasosa,2021,98.957166,Transitorio
15822,Tota,2021,99.333905,Transitorio
15755,Socotá,2021,78.138477,Transitorio
15542,Pesca,2021,99.894140,Transitorio
15580,Quípama,2021,14.039385,Transitorio
15638,Sáchica,2021,100.000000,Transitorio
15224,Cucaita,2021,99.573217,Transitorio
15832,Tununguá,2021,3.761852,Transitorio
15189,Ciénega,2021,64.004153,Transitorio
15600,Ráquira,2021,91.430569,Transitorio
15087,Belén,2021,99.003874,Transitorio
15599,Ramiriquí,2021,68.213641,Transitorio
15507,Otanche,2021,1.249183,Transitorio
15879,Viracachá,2021,96.222014,Transitorio
15368,Jericó,2021,98.940706,Transitorio
15480,Muzo,2021,9.312595,Transitorio
15759,Sogamoso,2021,99.409920,Transitorio
15131,Caldas,2021,92.860269,Transitorio
15762,Sora,2021,100.000000,Transitorio
15425,Macanal,2021,41.315989,Transitorio
15491,Nobsa,2021,98.065927,Transitorio
15511,Pachavita,2021,61.662279,Transitorio
15293,Gachantivá,2021,34.614382,Transitorio
15897,Zetaquira,2021,15.476425,Transitorio
15837,Tuta,2021,77.605586,Transitorio
15176,Chiquinquirá,2021,88.785243,Transitorio
15325,Guayatá,2021,31.939124,Transitorio
15218,Covarachía,2021,81.772325,Transitorio
15238,Duitama,2021,88.962477,Transitorio
15296,Gámeza,2021,99.722408,Transitorio
15097,Boavita,2021,31.863122,Transitorio
15272,Firavitoba,2021,99.693493,Transitorio
15500,Oicatá,2021,72.772939,Transitorio
15180,Chiscas,2021,68.332642,Transitorio
15380,La Capilla,2021,81.358721,Transitorio
15106,Briceño,2021,3.277974,Transitorio
15798,Tenza,2021,55.131591,Transitorio
15183,Chita,2021,78.977068,Transitorio
15774,Susacón,2021,83.696121,Transitorio
15681,San Pablo de Borbur,2021,10.748315,Transitorio
15516,Paipa,2021,62.529657,Transitorio
15377,Labranzagrande,2021,18.960712,Transitorio
15572,Puerto Boyacá,2021,44.192007,Transitorio
15514,Páez,2021,5.342583,Transitorio
15226,Cuítiva,2021,97.416861,Transitorio
15660,San Eduardo,2021,3.514425,Transitorio
15236,Chivor,2021,4.508209,Transitorio
15808,Tinjacá,2021,93.771668,Transitorio
15187,Chivatá,2021,100.000000,Transitorio
15022,Almeida,2021,18.618240,Transitorio
15753,Soatá,2021,44.170438,Transitorio
15244,El Cocuy,2021,100.000000,Transitorio
