geo,Año,Rango de edad,Sexo,Casos
15001,2020,Adolescencia,MASCULINO,6
15001,2020,Adultez,FEMENINO,1
15001,2020,Adultez,MASCULINO,29
15001,2020,Infancia,FEMENINO,1
15001,2020,Infancia,MASCULINO,1
15001,2020,Juventud,FEMENINO,2
15001,2020,Juventud,MASCULINO,22
15001,2020,Primera infancia,FEMENINO,1
15001,2020,Primera infancia,MASCULINO,1
15001,2020,Vejez,FEMENINO,3
15001,2020,Vejez,MASCULINO,11
15001,2021,Adolescencia,MASCULINO,5
15001,2021,Adultez,FEMENINO,7
15001,2021,Adultez,MASCULINO,37
15001,2021,Infancia,MASCULINO,1
15001,2021,Juventud,FEMENINO,7
15001,2021,Juventud,MASCULINO,26
15001,2021,Vejez,FEMENINO,6
15001,2021,Vejez,MASCULINO,13
15001,2022,Adolescencia,FEMENINO,3
15001,2022,Adolescencia,MASCULINO,7
15001,2022,Adultez,FEMENINO,8
15001,2022,Adultez,MASCULINO,35
15001,2022,Infancia,FEMENINO,2
15001,2022,Juventud,FEMENINO,8
15001,2022,Juventud,MASCULINO,29
15001,2022,Primera infancia,FEMENINO,2
15001,2022,Primera infancia,MASCULINO,5
15001,2022,Vejez,FEMENINO,12
15001,2022,Vejez,MASCULINO,16
15001,2023,Adolescencia,MASCULINO,3
15001,2023,Adultez,FEMENINO,6
15001,2023,Adultez,MASCULINO,34
15001,2023,Juventud,FEMENINO,7
15001,2023,Juventud,MASCULINO,37
15001,2023,Primera infancia,FEMENINO,4
15001,2023,Vejez,FEMENINO,6
15001,2023,Vejez,MASCULINO,17
15001,2024,Adolescencia,FEMENINO,2
15001,2024,Adolescencia,MASCULINO,6
15001,2024,Adultez,FEMENINO,8
15001,2024,Adultez,MASCULINO,43
15001,2024,Infancia,MASCULINO,1
15001,2024,Juventud,FEMENINO,6
15001,2024,Juventud,MASCULINO,17
15001,2024,Primera infancia,MASCULINO,5
15001,2024,Vejez,FEMENINO,8
15001,2024,Vejez,MASCULINO,14
